Geneid,C_1,C_2,C_3,WT_1,WT_2,WT_3,G_1,G_2,G_3
MYCTH_80168,0,0,0,0,0,0,0,0,0
MYCTH_2305600,561,1000,760,2298,2907,2588,3108,2979,3141
MYCTH_2118744,2,11,3,8,10,2,2,1,6
MYCTH_50908,0,0,0,0,0,0,0,0,0
MYCTH_2060218,0,4,0,4,2,0,0,0,0
MYCTH_93495,1,4,2,1,10,4,2,8,3
MYCTH_80161,369,689,505,982,1120,1064,1539,1323,1556
MYCTH_66804,80,124,134,871,1233,930,276,286,333
MYCTH_2110669,6,3,4,0,8,0,4,0,4
MYCTH_2305608,21,44,32,178,133,137,492,610,572
MYCTH_50705,20,39,20,397,513,413,797,616,937
MYCTH_2305611,278,492,541,3104,4103,3234,2365,2331,2411
MYCTH_2305613,66,130,106,175,183,129,152,153,110
MYCTH_2305614,414,684,703,1395,1872,1621,3920,3720,4254
MYCTH_2118751,155,186,172,659,638,676,1022,1017,1089
MYCTH_2305618,152,245,242,958,1126,910,2678,2907,3058
MYCTH_2305619,68,176,156,77,144,93,62,74,55
MYCTH_2305621,5762,9426,9786,13361,17397,13727,18672,19133,21002
MYCTH_2060942,178,275,296,470,546,467,393,438,382
MYCTH_2305625,65,199,195,130,166,103,89,166,150
MYCTH_101261,74,121,97,317,419,335,336,351,466
MYCTH_2110682,4,5,15,4,4,4,4,4,8
MYCTH_2305628,47,80,50,166,258,252,323,214,325
MYCTH_2061639,188,346,265,534,631,503,912,878,932
MYCTH_107295,962,1513,1626,6591,7784,6726,10209,10695,11685
MYCTH_2305631,29,52,56,22,20,25,184,211,293
MYCTH_2049011,0,2,2,0,0,0,5,7,5
MYCTH_2127404,7,15,13,8,19,7,57,55,41
MYCTH_2305633,54,140,119,88,102,65,79,144,163
MYCTH_50396,7,8,4,4,2,8,0,0,3
MYCTH_2118764,8,9,5,16,16,8,2,12,16
MYCTH_2118765,2,0,0,2,0,6,0,0,0
MYCTH_2305635,4,19,13,7,0,11,2,6,9
MYCTH_2127410,4,13,2,2,0,0,14,0,0
MYCTH_2305637,20,11,18,16,16,10,11,22,33
MYCTH_2305640,241,403,399,230,344,280,253,303,301
MYCTH_2060683,3,5,12,0,2,0,21,53,33
MYCTH_2305642,596,935,876,611,899,704,1180,1151,1208
MYCTH_t87,0,3,4,0,0,0,0,1,0
MYCTH_66783,1059,1706,1616,26036,35135,28522,41306,41911,45490
MYCTH_2305652,53,78,97,2797,3773,3347,14041,16261,15996
MYCTH_2315403,382,550,393,817,988,774,303,342,352
MYCTH_2305657,398,443,348,1801,2310,1582,694,758,803
MYCTH_2305667,662,977,890,3016,3986,2979,2624,2891,3234
MYCTH_2305668,1343,2260,2083,7959,10644,8227,12761,12189,13718
MYCTH_2305669,162,230,269,690,803,686,527,609,634
MYCTH_2118778,0,0,1,0,0,2,0,1,7
MYCTH_2305675,1529,2413,2184,5152,6488,5422,3677,3440,3723
MYCTH_2118780,589,1055,933,1118,1314,1165,820,952,999
MYCTH_2305679,472,585,579,809,1056,816,890,830,902
MYCTH_2305680,743,1214,1039,1523,2388,1970,2625,2640,2921
MYCTH_2305681,3370,5597,5574,3948,5097,4208,4446,4528,4677
MYCTH_2305684,617,935,803,2098,3024,2524,2668,2806,2989
MYCTH_2305685,146,242,221,530,632,628,635,726,722
MYCTH_2305688,250,397,467,320,441,270,616,618,648
MYCTH_2305689,106,176,153,203,283,226,447,427,501
MYCTH_49700,60,87,98,17,18,20,6,20,5
MYCTH_2110715,0,2,7,0,0,3,1,2,0
MYCTH_2315408,202,297,300,772,1024,694,876,643,792
MYCTH_2305695,1178,1903,1799,3159,4293,4022,4436,4088,4726
MYCTH_2305697,195,377,310,486,684,591,943,872,962
MYCTH_2134429,759,1235,1059,2019,2751,2492,4312,3886,4547
MYCTH_111331,2751,4550,4567,28540,34952,29021,12714,12425,13334
MYCTH_80109,107,253,163,397,487,365,205,269,269
MYCTH_80104,757,1174,1327,48709,61944,50176,10526,10108,11626
MYCTH_2305708,9,14,18,271,267,279,48,46,66
MYCTH_2305709,24,27,49,1287,1770,1392,396,347,362
MYCTH_101224,41,85,78,4324,5640,4199,1685,1678,1914
MYCTH_2118798,0,0,0,117,174,78,2,3,0
MYCTH_2305715,70,116,132,115,123,99,161,220,166
MYCTH_101222,2,8,0,4,2,0,2,0,2
MYCTH_2305716,358,619,552,744,864,668,1062,981,1048
MYCTH_50515,1,0,0,0,0,0,0,0,1
MYCTH_2305718,824,1283,1315,2387,3098,2604,2774,2570,2921
MYCTH_2110729,5,5,10,6,4,17,2,3,0
MYCTH_2118800,0,0,0,0,0,0,0,0,0
MYCTH_2110731,2,2,0,0,2,2,0,0,0
MYCTH_2064798,0,0,0,6,6,2,0,4,6
MYCTH_2305722,232,424,337,2074,2521,1945,1466,1659,1318
MYCTH_2305724,1137,1958,1587,7181,9414,7788,6989,7030,7432
MYCTH_2127454,272,435,442,358,611,559,1003,906,921
MYCTH_2305728,84,132,131,312,447,346,489,424,475
MYCTH_2127456,13,27,17,18,24,6,10,22,31
MYCTH_2093327,153,350,264,372,568,490,892,822,888
MYCTH_2305732,518,731,588,4446,6570,5101,4489,4110,4839
MYCTH_103032,31,70,50,2248,3075,2518,775,851,818
MYCTH_2305738,1,4,0,1361,1737,1437,116,105,88
MYCTH_2305739,431,669,689,275,271,177,113,158,195
MYCTH_2305741,91,117,153,712,874,662,714,568,632
MYCTH_2305742,262,414,359,1156,1398,1149,1176,1152,1237
MYCTH_2305743,405,746,593,1117,1549,1374,1688,1491,1877
MYCTH_2065222,0,6,0,0,0,0,0,0,0
MYCTH_83051,6077,9903,8753,16540,21222,19226,26233,26585,29314
MYCTH_2305746,143,205,194,143,222,162,215,249,235
MYCTH_2305747,656,1175,1105,1435,1713,1482,2535,2735,2892
MYCTH_103025,914,1485,1326,1373,1998,1599,2269,1997,2390
MYCTH_83048,2510,4188,4470,4967,6643,5360,5486,5339,5755
MYCTH_t99,0,0,0,1,0,2,0,4,1
MYCTH_2305754,1302,2166,1866,10959,14133,11070,20113,19091,21558
MYCTH_103022,0,0,2,16,10,10,4,6,12
MYCTH_2110752,3,5,2,0,4,4,0,12,0
MYCTH_2305757,576,917,913,1644,2202,1958,2091,2229,2692
MYCTH_2305759,98,189,132,155,175,169,221,161,143
