Geneid,C_1,C_2,C_3,WT_1,WT_2,WT_3,G_1,G_2,G_3
MYCTH_2298535,45,81,80,35,52,44,30,27,37
MYCTH_2073591,2550,4165,4024,6053,7771,6606,7716,7494,7839
MYCTH_2298542,521,880,943,2028,2782,2254,2591,2144,2670
MYCTH_2298544,41,72,84,257,270,251,494,596,512
MYCTH_2055951,161,251,260,1256,1715,1511,2574,2856,2748
MYCTH_2298547,129,190,173,109,170,138,266,279,283
MYCTH_2298552,808,1348,1429,1681,2175,1908,4505,4496,4595
MYCTH_2298553,474,781,722,1197,1741,1338,2467,2397,2464
MYCTH_2298555,446,645,740,899,1191,995,1564,1674,1786
MYCTH_2086212,1956,3395,3369,1936,2689,1921,1785,1641,1871
MYCTH_2298561,1206,1950,1892,2434,2900,2811,3015,3294,3627
MYCTH_2298562,1282,2072,1958,3228,4276,3714,3709,3586,4179
MYCTH_2115868,403,570,599,448,604,576,904,863,900
MYCTH_2298565,915,1638,1492,1511,2044,1705,2113,2114,2526
MYCTH_2298566,1650,2746,2537,2348,3149,3005,4258,4573,4749
MYCTH_2029593,0,3,12,0,15,2,6,2,2
MYCTH_2298570,1576,2344,2396,3976,5317,3994,7513,7337,8169
MYCTH_74126,2697,4390,4324,2173,3050,2508,5260,5625,6020
MYCTH_2124049,1353,2141,2240,1696,2389,2173,2707,3169,2955
MYCTH_2298578,708,939,842,1548,2313,1986,2523,2195,2545
MYCTH_2298579,350,593,523,437,522,477,802,819,854
MYCTH_113138,240,369,294,1169,1513,1359,1868,1883,1883
MYCTH_2314123,2984,4987,4584,9232,12184,9997,11161,12415,13358
MYCTH_2298586,4514,6813,7023,13208,17232,14158,14044,13833,14720
MYCTH_2314125,881,1443,1129,2505,3428,2932,3374,3506,3667
MYCTH_2314126,7724,12923,11680,20572,26034,21405,47915,48014,50554
MYCTH_2298590,267,396,403,498,673,534,876,836,954
MYCTH_2298593,844,1226,1153,4288,5966,5091,4150,4277,4660
MYCTH_2298597,380,505,566,1153,1533,1228,757,894,1027
MYCTH_2298599,1319,1887,1847,3817,5482,4144,8046,8048,8587
MYCTH_2086248,3168,5252,4809,28273,37906,29609,41712,38778,43032
MYCTH_2298606,854,1433,1177,3294,4096,3240,3093,3111,3511
MYCTH_t16,0,0,0,3,0,0,2,0,0
MYCTH_37110,492,713,709,4807,6635,5583,8450,8895,9482
MYCTH_2298612,543,873,908,1111,1524,1291,1878,1686,1919
MYCTH_2298614,2830,5092,4928,10557,13146,11243,8521,8365,8860
MYCTH_2073656,2075,3355,3078,5871,7026,6146,7474,6962,8117
MYCTH_2298622,1607,2560,2526,5436,7143,5567,6768,6414,7439
MYCTH_2314130,3104,5273,4977,15999,19198,16647,26832,29879,31359
MYCTH_2298626,493,657,702,1400,1684,1446,1994,2230,2207
MYCTH_2298631,374,604,627,933,1113,1038,1100,1060,1170
MYCTH_2298636,588,970,926,1515,1839,1538,1639,1721,1860
MYCTH_2298637,839,1332,1222,1764,2328,1642,1566,1594,1877
MYCTH_2107812,10,19,15,2,9,8,10,2,9
MYCTH_2054491,330,607,622,804,1155,924,1286,1302,1347
MYCTH_2298641,679,1240,1013,3129,4188,3563,4040,4248,4755
MYCTH_2298645,1209,1812,1604,4317,5591,4464,4561,4763,5027
MYCTH_2314136,2513,4033,3618,4718,6337,5318,8325,7932,8958
MYCTH_2298652,631,920,883,2327,2849,2416,3336,3175,3456
MYCTH_2298655,626,975,824,1598,1980,1874,2660,2480,2889
MYCTH_2298656,365,513,431,4191,4605,3803,4903,5156,5985
MYCTH_2298657,547,818,751,1599,1942,1718,2386,2296,2452
MYCTH_2124085,447,726,572,1125,1670,1694,1718,1709,1870
MYCTH_2298661,561,891,877,1334,1745,1516,2892,3129,3380
MYCTH_2298663,4475,6784,6734,12499,15315,13279,13032,14377,15079
MYCTH_74056,1678,2735,2686,5059,6909,5963,9763,9685,10764
MYCTH_t33,0,16,19,0,1,1,0,1,2
MYCTH_2298666,3191,5436,5042,8002,10540,9396,10487,9836,11547
MYCTH_2298669,1219,2151,1932,3116,3812,3020,3696,3716,3631
MYCTH_2298672,1219,1961,1997,2452,3538,2910,4195,4631,4840
MYCTH_2055700,137,234,214,154,230,262,86,64,71
MYCTH_2298680,813,1240,1242,2485,3489,2480,3079,2744,2926
MYCTH_2124094,189,270,246,4286,5802,5110,3241,3047,3258
MYCTH_2107828,568,918,841,3599,4605,3694,3334,3609,3715
MYCTH_2298688,1851,3176,3078,13257,16744,13597,10316,10097,11534
MYCTH_2054998,99,179,165,314,370,386,806,849,1099
MYCTH_2298693,189,313,346,230,368,230,294,232,286
MYCTH_105006,806,1227,1004,3193,4652,4067,2740,2448,2773
MYCTH_2298696,570,926,710,3076,4425,3454,3781,3120,3821
MYCTH_2298702,1071,1578,1542,2355,3125,2436,4006,4052,4750
MYCTH_2298705,685,1148,914,1117,1541,1261,1722,1705,1976
MYCTH_59997,1547,2659,2432,2941,4350,3626,3990,3364,3646
MYCTH_74026,177,295,232,418,502,392,681,695,829
MYCTH_2298709,140,242,165,168,256,183,116,117,122
MYCTH_2298711,4933,8008,7165,23366,31483,25534,25389,25128,28047
MYCTH_2298714,442,754,649,1683,2528,1969,1903,1872,1849
MYCTH_2051209,226,445,328,1001,1263,1163,1108,1144,1240
MYCTH_2298716,1337,2103,2145,4669,5862,4707,4347,4773,5434
MYCTH_2314145,468,793,644,303,487,423,459,507,456
MYCTH_2298717,543,894,740,3530,4639,3296,4302,3875,4283
MYCTH_2298723,1192,2113,1872,2966,3907,3500,4345,4866,4962
MYCTH_74015,444,734,706,848,1066,911,1352,1269,1385
MYCTH_2314148,1024,1580,1554,4186,4099,3207,3506,3901,4576
MYCTH_2052653,157,305,210,1651,1572,1267,1386,1396,1568
MYCTH_2298729,1097,1718,1654,1941,2446,2099,2272,2136,2292
MYCTH_2298731,255,478,433,453,616,485,868,879,908
MYCTH_2298732,389,693,583,900,1106,958,1048,964,1156
MYCTH_2298733,421,695,696,747,1007,780,1756,1654,1977
MYCTH_2298734,759,1364,1179,3753,4629,4141,3948,4033,4322
MYCTH_2314150,1875,2984,3069,4164,5160,4487,4243,4228,4465
MYCTH_2298741,645,987,975,3117,4207,3368,4115,4012,4178
MYCTH_2298743,638,985,965,1087,1400,1291,1252,1365,1364
MYCTH_t32,1,0,0,2,0,1,0,3,1
MYCTH_2298745,2647,4443,4296,3459,4559,3856,5045,4747,5313
MYCTH_2298749,13,25,8,56,74,94,103,171,141
MYCTH_2298750,4,6,1,15,40,35,38,67,69
MYCTH_97762,7,9,6,59,36,18,79,114,101
MYCTH_2298752,99,156,146,121,158,140,137,127,122
MYCTH_38704,58,103,89,10122,17334,13536,2633,2419,2850
MYCTH_59946,581,998,979,1700,2441,1881,2123,1908,2108
MYCTH_2050486,2,4,6,7,4,4,2,2,2
MYCTH_2298766,976,1678,1509,7564,9656,8062,9216,8894,10017
MYCTH_2298770,149,242,183,1241,1463,1319,1298,1270,1350
MYCTH_2314155,3222,5320,5458,5937,7791,6063,10219,10130,10592
MYCTH_2298773,849,1250,1230,1691,2296,2053,2395,2709,2757
MYCTH_2298783,1570,2535,2194,12849,13086,9976,13405,14230,15871
MYCTH_2298784,1486,2320,2087,5171,6197,4993,5006,5742,6202
MYCTH_2298789,1029,1555,1589,4086,5043,4207,4795,4720,5237
MYCTH_2086391,6828,10839,9898,34508,42459,34605,82362,79808,89473
MYCTH_2298795,710,921,881,4638,6092,5289,6377,5980,6577
MYCTH_2298796,664,914,934,2002,2727,2308,2485,2288,2580
MYCTH_2298798,81,72,50,1013,1128,844,959,784,1012
MYCTH_2298799,38,61,43,276,426,292,318,339,375
MYCTH_2298800,654,1173,1043,2638,3592,2957,3355,3147,3607
MYCTH_2298801,226,318,342,1267,1536,1275,1759,1836,1938
MYCTH_2314160,2278,3606,2806,7087,8671,6804,16860,15647,18114
MYCTH_t31,0,2,0,0,7,0,0,0,0
MYCTH_2298808,804,1239,1223,3454,4546,4064,4764,4063,4666
MYCTH_2298809,202,345,370,782,951,794,1291,1126,1284
MYCTH_2298813,835,1458,1251,3405,4327,3600,3969,3825,4399
MYCTH_2132657,6028,9878,10263,11768,14769,12520,24767,24146,27112
MYCTH_86076,4426,7519,6964,30383,35184,27675,37469,35976,42053
MYCTH_2298820,1298,2074,1945,4499,4782,4137,5692,5862,6420
MYCTH_2298824,284,554,508,463,621,596,543,550,580
MYCTH_2298825,406,679,554,1249,1648,1501,1835,2073,2087
MYCTH_2298826,1285,2218,1926,5910,7823,6125,9658,9012,10748
MYCTH_2124155,133,161,177,198,277,242,427,399,373
MYCTH_2298833,218,320,297,3632,4043,3546,4173,4586,5530
MYCTH_2314164,25211,42134,38640,93358,119884,99986,117350,113061,129933
MYCTH_2298840,361,519,484,1079,1410,1279,1687,1530,1543
MYCTH_2298841,805,1291,1050,2249,3003,2375,2888,2673,2922
MYCTH_2298844,1192,2000,1776,2494,3565,2874,6620,6167,6830
MYCTH_38313,571,978,821,3296,4314,3240,2900,2865,3093
MYCTH_2298848,149,287,304,205,233,149,410,459,492
MYCTH_2115983,91,153,162,96,92,104,113,119,123
MYCTH_2298852,22,29,6,596,782,640,720,687,780
MYCTH_113066,491,620,522,3580,4515,4032,4638,4710,5255
MYCTH_2298860,1245,2173,2010,7849,10056,8233,6429,6334,7552
MYCTH_2298863,278,402,360,3436,4803,4423,4051,3441,4194
MYCTH_2298867,612,755,690,4020,6102,4725,3686,3518,3726
MYCTH_2298870,319,540,487,690,965,762,2582,2340,2518
MYCTH_2298873,344,523,490,823,1024,885,1315,1350,1440
MYCTH_2298874,851,1377,1305,1365,1835,1634,2104,2075,2269
MYCTH_2298875,54,64,50,420,640,489,592,559,599
MYCTH_2298876,851,1396,1379,1180,1609,1339,1508,1405,1500
MYCTH_2037146,375,730,629,533,654,516,923,911,983
MYCTH_2124177,1032,1735,1379,1481,1929,1621,2162,2221,2365
MYCTH_89710,228,367,400,380,440,382,385,341,357
MYCTH_2124179,21,30,29,4,23,11,29,23,17
MYCTH_2298881,1250,2033,1893,2592,3399,3065,4385,4175,4647
MYCTH_2298883,393,607,628,1188,1497,1385,1890,2130,2264
MYCTH_2049318,523,725,745,1342,2026,1784,3348,3110,3873
MYCTH_104959,559,913,909,2128,2878,2462,3629,3547,4142
MYCTH_2086451,738,1147,1114,1308,1825,1441,1943,1616,2099
MYCTH_40310,18,35,34,21,48,21,26,29,39
MYCTH_2116000,139,193,151,219,376,304,573,620,684
MYCTH_2298890,32,40,17,166,224,148,342,359,311
MYCTH_2298893,160,258,193,197,203,164,105,119,141
MYCTH_2298894,443,707,604,4190,5293,4707,2969,3285,3431
MYCTH_2298895,626,936,774,4991,6654,5318,5044,5000,5530
MYCTH_2314176,2473,3876,3449,9929,12788,11106,16776,15007,17644
MYCTH_97707,124,188,225,195,254,148,180,135,209
MYCTH_59853,292,434,405,628,939,692,798,732,953
MYCTH_2298906,2629,4448,3941,7995,10775,8960,13585,12577,14251
MYCTH_2298909,598,997,972,3174,4631,4096,4874,4707,5563
MYCTH_40367,157,256,261,509,633,569,375,484,446
MYCTH_2314181,1118,1732,1533,2008,2625,2226,2525,2743,2805
MYCTH_2298914,480,772,746,1085,1534,1483,1560,1611,1764
MYCTH_2298916,30,54,37,288,353,316,353,274,334
MYCTH_2298918,456,679,616,3521,5173,3666,5795,5808,6096
MYCTH_2038387,642,1079,1305,1055,1127,890,1286,1508,1576
MYCTH_2298920,764,1285,1206,1221,1707,1446,1897,1901,2063
MYCTH_2298921,732,1095,998,3331,4635,3805,3427,2932,3473
MYCTH_2298922,8827,15243,15640,30559,37238,31198,22894,21633,23968
MYCTH_2086470,1515,2912,2732,2267,2868,2521,4599,4331,4870
MYCTH_37752,173,272,276,783,820,763,614,783,759
MYCTH_2298926,691,1193,1020,5793,6989,5941,5906,6076,6932
MYCTH_2053582,6,26,6,12,13,2,18,24,22
MYCTH_2298927,495,740,698,1071,1563,1269,1884,1817,1921
MYCTH_2298928,39,60,50,99,85,87,327,275,266
MYCTH_2298929,252,335,257,2127,2745,2417,4122,3764,4253
MYCTH_2107928,35,43,30,10,24,22,24,58,54
MYCTH_2298931,547,860,814,1187,1496,1312,1923,1818,2082
MYCTH_2298934,516,759,848,903,1232,1066,1595,1741,1627
MYCTH_2298937,353,546,520,966,1297,1111,1045,887,1155
MYCTH_73877,622,869,787,2180,2951,2459,3526,3421,3879
MYCTH_2298940,55,67,49,227,321,176,678,741,469
MYCTH_2124216,43,85,106,35,18,24,31,36,36
MYCTH_2298945,1339,2168,1924,3336,4526,3603,3015,3446,3666
MYCTH_104945,732,1204,1028,1456,1913,1680,2617,2879,2947
MYCTH_2298951,18,42,40,101,192,155,1085,1039,1123
MYCTH_2124220,94,183,162,94,166,211,2095,2244,2147
MYCTH_2298952,234,414,426,681,793,600,779,822,747
MYCTH_2107938,219,362,316,1593,2028,1752,1409,1565,1619
MYCTH_2298956,511,806,705,1970,2638,2024,7410,7502,8467
MYCTH_2124224,130,223,196,202,280,213,234,227,296
MYCTH_2298958,1003,1527,1439,2102,2727,2509,3535,3479,4123
MYCTH_2132689,1942,3276,3120,5139,6851,5356,6960,6778,7540
MYCTH_89669,700,1260,1067,2081,2694,2386,3119,2883,3395
MYCTH_2298968,28,31,49,269,462,397,660,675,693
MYCTH_2298970,31,51,24,893,1351,1190,2041,1938,2274
MYCTH_2298973,978,1544,1443,1502,2004,1579,2467,2793,2859
MYCTH_73867,1463,2206,1947,3634,4761,4031,4878,4835,5050
MYCTH_2051835,863,1427,1394,1700,2283,1752,2094,2184,2575
MYCTH_86049,801,1283,1118,1353,1910,1561,1881,1990,2070
MYCTH_2298981,384,678,712,1954,2446,1970,2031,1829,2337
MYCTH_2298982,966,1522,1593,2907,4000,3447,4002,3565,4055
MYCTH_2298984,2856,4639,4455,5437,7054,5696,7172,7390,7641
MYCTH_t17,0,0,0,0,0,0,2,0,4
MYCTH_2298987,1240,1817,1685,2994,3635,3212,2828,3078,3232
MYCTH_2298988,903,1435,1493,2958,3967,3164,4136,4097,4464
MYCTH_2298990,540,896,835,2700,3657,2715,3107,3127,3618
MYCTH_104936,1265,1992,1846,9696,11247,8255,9792,10735,11514
MYCTH_2298994,1593,2777,2634,5295,6828,5469,6958,6275,7179
MYCTH_2298996,1529,2459,2393,1919,2584,2348,4428,4044,4664
MYCTH_2298998,494,745,686,502,733,669,1518,1426,1391
MYCTH_40012,316,394,314,2016,2738,1962,2820,2421,2876
MYCTH_2299001,1422,2178,2013,4062,5302,4598,6730,6956,7651
MYCTH_2299002,1199,1952,1824,4946,6578,6063,12557,12533,13546
MYCTH_2086520,5577,9189,7807,32170,36061,31223,44969,44462,51633
MYCTH_2299007,1055,1458,1637,4880,5148,3766,4576,4959,5500
MYCTH_2299008,679,1066,898,3084,4166,3694,7560,8085,8761
MYCTH_2299010,3757,6126,6023,4098,4992,4627,5306,5396,5961
MYCTH_2299012,160,271,250,302,342,323,323,433,437
MYCTH_2299014,776,1355,1039,1735,2280,1987,2329,2597,2611
MYCTH_2299018,1602,2873,2793,855,1171,1018,1678,2108,1785
MYCTH_2299021,185,283,267,445,581,503,410,313,443
MYCTH_2107968,182,237,230,645,862,760,764,980,946
MYCTH_2299023,747,1200,950,4947,6388,4379,7464,7189,8158
MYCTH_t30,0,0,0,0,0,0,0,0,0
MYCTH_2299025,85,99,63,2030,3013,2357,1944,1714,2016
MYCTH_2299026,1060,1585,1517,3992,5347,4900,3251,3203,3586
MYCTH_2314200,4512,8565,7670,4833,5907,4700,4422,4394,5025
MYCTH_2299031,1612,2509,2187,2374,2913,2600,2806,2614,2978
MYCTH_40930,707,1035,910,1551,1827,1393,1860,1806,2107
MYCTH_2299032,1743,3079,2848,5291,6386,5359,7031,6800,7551
MYCTH_2299034,206,297,288,560,646,625,839,815,923
MYCTH_2299035,207,297,271,1645,2598,2025,2773,2649,2834
MYCTH_2299037,1222,2119,2252,1494,1822,1331,1363,1450,1493
MYCTH_2299039,541,905,804,1433,2079,1731,4791,5429,5724
MYCTH_2299040,931,1428,1503,1768,1907,1611,2348,2247,2418
MYCTH_2299041,472,842,723,784,961,753,687,871,827
MYCTH_2299042,560,947,832,1478,1834,1575,2314,2442,2604
MYCTH_2107979,60,103,116,198,227,213,114,181,189
MYCTH_2299043,525,948,797,2776,3745,2896,2746,2531,2887
MYCTH_2314205,2843,4389,3875,4248,5448,4614,5189,5094,5612
MYCTH_97642,1119,1906,1677,4479,5131,4193,7650,7933,8855
MYCTH_109638,11365,19579,17920,69609,87506,65524,164669,165757,176079
MYCTH_2299056,571,1002,962,834,1063,829,800,800,803
MYCTH_2299061,1750,2687,2500,4556,5970,4968,7470,6797,7542
MYCTH_2299064,1080,1806,1807,2814,3863,3071,4464,4481,4792
MYCTH_2299066,6,8,14,6,6,6,10,9,13
MYCTH_2299067,871,1434,1440,1085,1303,1157,1357,1157,1318
MYCTH_2299068,266,481,480,804,991,753,1171,1073,1316
MYCTH_2299070,308,619,569,379,487,476,683,607,682
MYCTH_2314212,558,911,838,721,1053,843,1473,1471,1647
MYCTH_2142488,7070,11798,10789,17799,21960,18452,16138,15501,16503
MYCTH_2124283,4,15,3,53,26,50,21,33,22
MYCTH_2116084,573,969,800,2186,2954,2326,2188,2364,2531
MYCTH_2299077,268,434,388,1150,1663,1389,1256,1430,1285
MYCTH_2299079,323,529,410,1901,2468,1885,2314,2336,2294
MYCTH_2299081,698,985,1062,1572,2032,1731,4666,5389,5329
MYCTH_2299084,471,645,632,874,1235,1114,2239,2359,2502
MYCTH_2299088,2549,4066,4201,24616,31349,22529,33223,34576,39077
MYCTH_2299089,900,1251,1185,7291,8643,6868,9231,9003,10390
MYCTH_39591,702,1197,1064,1066,1399,1106,2288,2214,2321
MYCTH_2299092,637,967,813,937,1420,1156,1249,1325,1350
MYCTH_2299099,1576,2660,2508,4751,6228,5054,7381,6919,7562
MYCTH_2299100,788,1198,1058,2934,4099,3139,4456,4493,4393
MYCTH_112996,471,774,763,1577,2083,1630,2051,2044,2362
MYCTH_40920,448,713,682,1779,2523,1394,3516,4569,4242
MYCTH_2299107,1913,3103,3399,7359,9742,7559,6605,6250,6656
MYCTH_2299109,323,512,494,885,1087,917,946,1101,1180
MYCTH_2299110,368,590,534,1371,1577,1534,1457,1397,1786
MYCTH_2299111,313,493,515,222,489,405,288,275,416
MYCTH_89603,128,260,189,47808,63484,54332,1192,1170,1241
MYCTH_2299115,819,1385,1286,1402,1877,1669,1878,2169,2069
MYCTH_122893,744,1189,1062,3983,5300,4080,2893,2597,2894
MYCTH_t29,0,0,0,0,0,0,0,0,0
MYCTH_97617,428,738,574,2761,3357,2720,4398,4112,4849
MYCTH_2299123,5,9,2,269,316,261,378,374,487
MYCTH_2035701,89,151,168,245,347,231,489,412,554
MYCTH_2299125,4909,8453,8508,14307,18291,14970,14814,15057,16365
MYCTH_2299128,105,237,208,147,213,248,225,242,197
MYCTH_2299129,1181,1926,1690,3558,4310,3978,4548,4163,4958
MYCTH_2299133,268,409,443,1332,1483,1438,727,788,957
MYCTH_2299134,535,942,769,1774,2664,2084,2523,2466,2686
MYCTH_2299136,1252,2031,1884,3965,4816,4335,4811,4979,5510
MYCTH_2299137,369,575,574,2235,2199,1761,1961,2254,2354
MYCTH_2299139,897,1368,1392,3663,3524,3292,3112,3129,3669
MYCTH_2299142,230,396,385,1530,2036,1535,1378,1453,1325
MYCTH_2051357,844,1308,1408,7343,9901,7820,4691,4690,5445
MYCTH_2299145,424,684,656,601,721,569,660,699,805
MYCTH_2299147,973,1647,1335,4564,5587,4940,5822,6442,7135
MYCTH_2299149,404,585,591,1593,2317,1728,1418,1571,1690
MYCTH_2049301,124,203,130,824,1202,741,1107,1060,1145
MYCTH_2299151,106,177,168,631,929,805,867,823,1106
MYCTH_2299152,72,74,98,172,185,174,211,225,306
MYCTH_2299155,1017,1659,1452,4100,4235,3413,5114,5153,5961
MYCTH_2116126,40,112,69,311,533,286,317,337,353
MYCTH_2299157,636,1104,1022,1945,2416,2179,2432,2228,2382
MYCTH_2054578,6,9,12,4,6,0,0,0,0
MYCTH_104887,403,615,513,1482,1875,1920,705,820,919
MYCTH_2299158,224,369,273,2970,4544,3296,3241,2880,3210
MYCTH_109620,18083,30614,27740,22907,29647,23643,171437,164549,183491
MYCTH_2299167,715,1242,1015,2111,2747,2373,2788,2857,3236
MYCTH_2050929,922,1371,1361,2350,2879,2343,3028,2789,3277
MYCTH_2299172,391,649,554,327,408,328,300,339,318
MYCTH_2299174,135,259,244,180,241,167,168,169,176
MYCTH_2299175,290,527,459,408,480,422,465,335,466
MYCTH_2299177,1661,2750,2350,7190,9555,7790,10554,10379,11810
MYCTH_2299178,454,789,665,1908,2807,2335,2698,2742,2942
MYCTH_2050951,33,29,39,21,44,41,10,35,22
MYCTH_2299180,711,931,948,874,1096,994,1290,1330,1244
MYCTH_2299181,251,298,228,699,746,631,1039,1125,1165
MYCTH_2299183,807,1291,1034,1573,2187,1721,1918,2229,2254
MYCTH_2299189,1117,1896,1689,8639,11016,9298,10782,10349,11941
MYCTH_2299193,948,1385,1414,1296,1701,1596,1999,2071,2134
MYCTH_2299195,3472,5510,5528,3499,4655,3950,4634,4589,4835
MYCTH_73708,3707,6095,5920,5497,7344,5912,6782,6462,7042
MYCTH_2299199,1414,2344,2145,1697,2191,1830,2439,2338,2542
MYCTH_89563,2076,3447,3175,3847,4813,3874,4470,4654,4928
MYCTH_2299204,532,805,760,1009,1294,1083,1219,1148,1407
MYCTH_2299207,1211,2220,1949,1947,2241,2004,2146,2194,2279
MYCTH_2132763,1735,2945,3158,2909,4120,3203,8985,8304,9649
MYCTH_2299213,8767,14298,13295,16473,22838,20168,17792,16777,19744
MYCTH_2299217,1226,2144,2048,2986,3988,3571,6189,6697,7090
MYCTH_2299218,2380,4272,3766,3668,4239,3811,4410,4503,4890
MYCTH_2299220,1747,2448,1841,17270,22028,18662,28465,27812,31734
MYCTH_2299223,247,398,386,1076,1218,1168,1194,1178,1233
MYCTH_73682,785,1197,1158,1542,2351,1910,2203,2233,2422
MYCTH_2132770,101,204,168,138,114,108,216,229,240
MYCTH_73679,3722,6094,5553,20200,26131,22114,34951,34744,38151
MYCTH_2314244,1276,1984,2055,2358,3144,2592,3463,4014,4216
MYCTH_2299238,1144,1870,1865,1545,1829,1693,2421,2450,2820
MYCTH_2033977,5587,10454,10479,13770,17205,14535,19388,17806,20089
MYCTH_2074077,516,806,806,1093,1594,1193,1471,1553,1778
MYCTH_59591,18968,32321,30696,35365,42968,38999,42310,39520,44015
MYCTH_2299252,600,849,896,2007,2872,2271,3321,3231,3720
MYCTH_2299254,515,777,801,1019,1538,1248,1677,1807,1811
MYCTH_59585,441,748,604,1389,1912,1567,1655,1519,1779
MYCTH_2299259,2121,3223,3037,10629,13928,11674,15233,14762,16576
MYCTH_2299262,3681,6090,5704,16199,17433,13196,21177,20958,25534
MYCTH_2299267,145,167,158,392,416,423,852,810,1034
MYCTH_2299268,1481,2401,2052,6522,8167,6785,8638,8116,8735
MYCTH_2299273,945,1441,1367,7929,9503,7920,10481,10940,11399
MYCTH_2299276,4804,7933,7817,8018,10528,8988,10479,10989,10630
MYCTH_2299277,97,112,160,282,352,306,272,347,392
MYCTH_2299279,385,617,529,609,768,662,1197,1224,1219
MYCTH_2314252,85,83,62,837,1221,956,1436,1379,1490
MYCTH_2086714,1053,1566,1285,2454,3346,2978,3565,3684,4029
MYCTH_2299284,76,120,124,442,629,430,200,252,215
MYCTH_2299286,634,1000,903,1455,1824,1788,2981,2964,3577
MYCTH_2299288,978,1526,1526,1369,1755,1562,3205,3302,3543
MYCTH_38365,271,565,381,348,521,390,310,369,352
MYCTH_89534,155,263,329,486,758,521,753,745,885
MYCTH_2299291,1094,1879,1847,5084,6999,5921,6522,6370,6859
MYCTH_2299295,389,670,602,203,297,295,936,1062,1069
MYCTH_2299297,745,1165,1012,6231,7736,6365,6945,6803,7875
MYCTH_2299299,2224,3751,3504,5981,7180,5617,6016,6264,6352
MYCTH_2299301,565,902,832,1411,1767,1574,1866,1851,1910
MYCTH_2299302,332,534,534,493,630,532,525,547,595
MYCTH_2086729,669,1082,1087,1460,1701,1539,1399,1502,1555
MYCTH_2299306,640,988,854,1958,2537,1993,3152,2880,3389
MYCTH_2299308,1068,1744,1670,3538,4727,4003,6341,6670,7420
MYCTH_2299309,670,1017,969,1897,2260,2042,3175,3510,3828
MYCTH_2086739,828,1367,1152,5591,7070,5952,5952,5766,6388
MYCTH_2299314,108,191,187,105,158,134,256,202,295
MYCTH_2299316,219,326,244,1805,2259,1916,3573,3515,3950
MYCTH_2314258,737,1058,1027,2215,2747,2334,3869,3677,3933
MYCTH_2299319,219,389,348,391,477,452,730,677,714
MYCTH_2055575,114,159,101,898,1141,1032,1731,1479,1594
MYCTH_2299321,145,233,259,678,819,689,602,685,748
MYCTH_2124399,23,36,40,2,15,5,20,33,31
MYCTH_2299322,575,870,762,963,1219,1057,2571,2543,2885
MYCTH_73602,276,454,423,493,516,483,1380,1671,1436
MYCTH_73601,354,500,495,541,782,776,802,811,781
MYCTH_2053677,431,726,697,1496,1811,1473,1126,1274,1365
MYCTH_2299329,526,937,793,1620,2046,1732,1174,1080,1207
MYCTH_2299331,1271,2082,1829,4570,5760,4393,6073,6264,7077
MYCTH_2074154,1450,2288,2135,7012,10641,8940,10479,9074,10977
MYCTH_2086765,932,1497,1370,2024,2415,2020,2711,2816,2861
MYCTH_2299335,508,868,678,2326,2647,2003,4249,4044,4761
MYCTH_89510,9,16,11,14,7,6,5,0,0
MYCTH_2299337,46,78,36,313,399,278,312,279,367
MYCTH_2299338,607,960,874,986,1329,1118,1353,1200,1198
MYCTH_2299339,1540,2464,2107,5299,7628,6205,8447,7969,8852
MYCTH_2086777,4900,8972,8378,5879,7069,6172,6423,5871,6408
MYCTH_2299343,646,894,770,1300,1733,1659,2632,2479,2601
MYCTH_t28,6,10,3,0,0,0,0,0,0
MYCTH_2116212,88,143,144,179,280,203,124,203,141
MYCTH_2124418,1,16,2,0,4,5,4,4,2
MYCTH_2299349,8317,13494,12127,2895,3627,3178,7979,9063,9802
MYCTH_2299350,144,237,211,538,848,750,736,653,821
MYCTH_39559,57,96,77,243,380,307,840,766,868
MYCTH_2299355,716,1034,1056,2095,2657,2319,3155,3870,3693
MYCTH_2074176,5005,8587,7754,12499,14928,12807,12856,12726,13729
MYCTH_2299360,3843,6376,5726,8552,11874,9649,19071,18305,20896
MYCTH_2299362,2,1,0,0,2,0,0,0,0
MYCTH_112924,839,1422,1260,726,1096,861,453,517,454
MYCTH_2299367,1590,2602,2463,3155,4208,3556,2767,2551,2830
MYCTH_2299369,105,212,172,482,768,610,633,505,620
MYCTH_2299371,363,603,555,1266,1126,1026,1047,1256,1312
MYCTH_2299373,313,510,518,1877,2714,2314,1300,1414,1415
MYCTH_104827,200,398,318,3893,4724,3817,776,783,721
MYCTH_2299379,93,148,92,365,388,305,432,504,492
MYCTH_2299383,2277,3553,2939,28835,39885,33473,56474,51949,60549
MYCTH_2108128,95,135,117,394,456,358,521,391,489
MYCTH_2299386,160,231,232,163,163,145,298,222,239
MYCTH_2299388,6702,11159,10520,19176,23791,19681,23815,22194,24968
MYCTH_2299397,2326,3817,3768,7031,8560,6995,5063,4755,5128
MYCTH_t18,0,0,0,0,0,0,1,0,0
MYCTH_2299402,5911,9208,7846,25837,32940,23757,29811,31034,34070
MYCTH_112916,6206,9663,7950,37808,47393,38249,40976,40817,44889
MYCTH_2299407,458,754,724,1233,1671,1450,3516,3190,3794
MYCTH_2314274,6466,11203,10235,16953,17451,15321,8886,9430,10221
MYCTH_2299412,1456,2312,2058,6575,7608,5620,7555,7853,7957
MYCTH_2124443,65,95,87,390,395,351,385,399,435
