Geneid,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,T1_1,T1_2,T1_3,T2_1,T2_2,T2_3
MYCTH_t28,0,0,0,0,0,0,0,0,0,0,0,0
MYCTH_2116212,0.55,0.65,0.56,1.29,1.6,1.41,0.59,0.42,0.56,0.64,0.45,0.55
MYCTH_2124418,0,0.11,0,0,0.16,0.24,0,0,0.2,0,0.09,0
MYCTH_2299349,21.9,17.06,22.8,23.72,23.43,24.99,20.59,17.47,34.04,17.18,20.13,14.6
MYCTH_2299350,4.3,2.79,3.59,6.57,8.16,8.79,1.53,1.65,1.42,3.09,3.36,2.83
MYCTH_39559,4.89,4.68,3.06,5.02,6.19,6.09,2.84,2.43,2.58,3.63,3.27,3.35
MYCTH_2299355,22.11,19.7,19.95,17.07,17.07,18.13,19.14,19.29,17.04,11.33,10.49,10.11
MYCTH_2074176,109.92,110.83,112.56,190.39,179.28,187.23,91,94.72,88.99,121.8,114.87,118.21
MYCTH_2299360,66.76,69.16,63.61,69.05,75.59,74.78,54.7,49.86,51.51,56.72,56.14,62.85
MYCTH_2299362,0,0.32,0.14,0,0.12,0,0,0,0.08,0,0,0
MYCTH_112924,2.03,1.89,2.56,6.68,7.95,7.6,2.36,2.32,2.71,3.37,3.11,3.39
MYCTH_2299367,4.64,3.47,4.4,19.34,20.33,20.92,3.13,2.85,5.37,12.21,12.75,11.33
MYCTH_2299369,4.04,4.26,3.58,6.63,8.32,8.05,2.37,1.96,1.9,3.66,3.85,2.71
MYCTH_2299371,11.46,13.71,12.26,17.2,12.06,13.38,10.68,9.6,12.64,15.74,17.56,19
MYCTH_2299373,5.45,4.76,5.55,22.61,25.77,26.75,3.62,3.27,4.73,17.27,22.1,18.71
MYCTH_104827,3,4.09,4.64,42.07,40.25,39.59,5.97,2.62,4,69.62,83.56,66
MYCTH_2299379,2.73,2.41,2.56,4.17,3.49,3.34,2.09,2.03,1.32,2.94,2.04,2.75
MYCTH_2299383,233.63,222.57,220.27,268.06,292.35,298.66,190.09,172.77,184.4,218.57,239.61,235.4
MYCTH_2108128,1.37,1.63,1.69,5.91,5.39,5.15,0.94,1.18,0.88,3.03,3.29,2.81
MYCTH_2299386,3.1,2.55,1.74,4.34,3.42,3.71,2.36,1.31,2.02,2.57,2.57,2.99
MYCTH_2299388,103.36,93.43,98.14,117.96,115.39,116.19,76.47,77.72,83.22,77.65,85.17,76.72
MYCTH_2299397,85.79,76.68,88.04,63.87,61.31,60.99,130.56,150.48,137.18,75.71,82.79,64.77
MYCTH_t18,0,0,0,0,0,0,0,0,0,0,0,0
MYCTH_2299402,113.51,111.81,109.58,106.29,106.84,93.8,108.24,99.23,97.31,145.94,151.86,140.31
MYCTH_112916,160.8,159.19,162.63,162.38,160.49,157.67,126.92,117.66,115.05,189.03,196.28,176.52
MYCTH_2299407,6.66,6.48,6.5,6.74,7.2,7.61,6.28,4.5,5.83,3.53,4.27,3.43
MYCTH_2314274,344.39,332.55,351.91,572.63,464.76,496.69,430.67,472.79,479.6,442.91,416.27,416.05
MYCTH_2299412,50.61,47.34,46.78,80.93,73.83,66.39,31.85,33.12,37.56,44.97,50.99,49.14
MYCTH_2124443,2.43,1.35,1.36,7.38,5.9,6.38,1.26,1.29,2.46,1.79,2.42,2.7
MYCTH_2132825,3.72,3.74,3.26,8.25,9.35,9.95,1.84,1.94,2.07,4.45,4,3.6
MYCTH_2299416,13.71,14.18,12.34,26.16,26.9,26.28,6.05,5.23,6.24,10.03,11.42,10.64
MYCTH_2074210,53,45.3,50.71,164.55,166.13,159.98,51.64,55.06,51.14,125.93,125.13,99.71
MYCTH_2052991,0.87,0.76,0.4,0.75,0.3,0.65,0.32,0.32,0.64,0.24,0.52,0.35
MYCTH_2299427,40.79,38.8,37.59,66.71,70.46,69.64,30.31,30.88,21.84,35.07,31.76,30.53
MYCTH_2299428,2.94,2.61,3.55,12.24,11.55,12.6,1.95,1.33,2.55,4.22,4.54,4.8
MYCTH_39101,124.04,124.38,115.18,162,158.48,167.33,81.44,81.35,78.34,101.57,108.52,109.11
MYCTH_59445,12.68,12.14,11.02,15.36,16.32,16.97,8.74,6.99,8.54,7.74,8.74,8.94
MYCTH_2137771,25.8,26.59,25.22,31.8,30.77,32.18,19.8,16.63,18.13,21.81,21.08,19.5
MYCTH_37848,6.4,6.01,6.09,5.21,6.84,6.59,3.28,3.17,3.37,3.13,2.73,2.7
MYCTH_2299438,18.8,20.96,16.82,26.06,25.27,25.02,16.9,17.58,16.28,15.26,15.33,16.78
MYCTH_2299442,14.97,14.68,14.49,34.4,36.61,33.96,10.57,9.83,15.1,14.45,15.43,15.9
MYCTH_2299445,443.43,445.45,381.14,550.25,561.54,554.45,363.74,336.53,339.11,325.06,329.77,434.62
MYCTH_2051392,14.61,14.33,13.59,25.1,26.44,23.64,10.67,9.28,12.13,12.2,11.59,10.77
MYCTH_2108150,0.06,0.26,0.02,0.45,0.38,0.47,0.08,0,0.04,0.05,0.11,0.08
