Geneid,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,T1_1,T1_2,T1_3,T2_1,T2_2,T2_3
MYCTH_2305107,39.68,35.03,36.96,81.27,90.19,85.77,27.88,23.28,29.23,47.1,51.57,49.49
MYCTH_2305109,52.27,52.4,69.45,15.17,10.91,9.43,51.67,39.55,26.19,144.13,150.65,122.42
MYCTH_t93,0,0,1.12,5.74,3.62,2.76,0,0,0,8.53,4.24,7.76
MYCTH_2022110,1.13,1.62,1.22,3.56,4.04,4.08,1.13,0.82,0.95,2.06,3.51,2.9
MYCTH_2305112,13.61,12.86,13.09,13.22,14.19,15.19,7.66,7.2,7.53,8.74,9.78,9.59
MYCTH_2060757,29.89,27.83,25.39,32.19,34.78,33.62,23.65,22.88,25.11,19.25,20.55,20.76
MYCTH_2305118,166.98,166.93,163.27,190.46,206.15,210.64,148.07,128.44,159.6,158.56,154.05,161.39
MYCTH_2305121,17.03,20.25,17.5,25.58,25.15,27.21,15.8,13.72,14.84,20.74,18.71,21.62
MYCTH_2305125,8.71,6.84,5.2,3.16,2.43,2.59,8.03,9.19,9.36,3.27,2.86,3.26
MYCTH_2305128,162.62,185.3,170.94,179.55,175.75,191.2,146.76,154.23,151.84,158.63,132.21,159.28
MYCTH_2060417,10.72,11.98,11.27,11,11.46,12.35,6.04,5.89,6.74,5.46,5.85,5.8
MYCTH_2305132,20.04,19.31,20.34,31.96,33.12,35.77,12.14,10.71,9.71,16.6,18.44,16.79
MYCTH_2305133,5.23,5,4.88,10.67,10.03,11.36,4.1,3.45,5.26,6.51,5.85,6.17
MYCTH_2305137,23.95,21.29,25.74,46.71,47.41,46.13,25.8,20.58,23.4,41.8,43.98,40.3
MYCTH_2305142,136.42,124.12,133.83,131.86,133.3,118.86,168.64,175.12,178.14,143.8,147.57,159.93
MYCTH_2062055,2.82,2.52,2.21,2.8,2.85,3.09,2.68,2.56,1.79,2.06,1.99,2.11
MYCTH_2305145,9.15,8.77,9.02,13.4,14.46,14.5,6.12,4.95,6.23,9.1,8.64,8.87
MYCTH_2305146,6.06,2.66,4.83,9.07,8.75,9.65,2.78,1.77,4.57,4.78,4.02,5.65
MYCTH_2305147,0.46,0.84,1.28,0.95,1.22,0.72,0.35,1.14,1.19,0.5,0.48,0.58
MYCTH_t92,0,0,0,0,0,0,0,0,0,0.27,0,0
MYCTH_t91,0,0,0,0,0,0,0,0,0,0,0,0
MYCTH_2305148,10.63,13.01,11.11,15.53,16.4,16.06,9.5,7.57,7.37,8.75,7.74,9.23
MYCTH_2305149,9.44,9.2,10.75,33.4,32.77,33.05,5.12,3.56,7.69,10.94,15.83,12.76
MYCTH_2305156,2.26,2.21,2.53,7.79,5.32,5.55,1.74,1.25,1.42,2.2,4.67,3.04
MYCTH_2305158,25.17,26.14,25.02,27.82,29.27,29.8,17.96,18.16,18.43,18.78,19.12,18.8
MYCTH_2305160,21.79,18.11,20.42,35.35,35.1,37.69,13.67,14.2,11.04,23.57,21.1,20.9
MYCTH_2060364,35.25,35.46,36.71,52.1,45.56,42.1,30.47,33.37,28.75,32.35,29.65,31.51
MYCTH_80427,4036.32,4063.34,5082.93,982.46,629.78,460.31,2339.94,2143.19,1290.27,7801.92,7410.38,7039.73
MYCTH_2305170,58.46,59.8,49.99,36.27,39.29,38.76,38.72,34.4,37.97,26.84,28.78,35.66
MYCTH_2305172,8.28,9.47,9.49,21.35,19.3,17.28,12.58,9.49,10.71,11.78,13.18,11.66
MYCTH_2305173,8.94,8.77,9.36,13.04,12.96,12.5,7.52,7.38,8.22,7,6.54,6.86
MYCTH_2062291,1.94,1.75,2.12,7.58,11.1,9.53,3.1,1.75,2.58,2.44,2.66,2.41
MYCTH_93700,5.44,5.08,4.86,10.77,12.44,13,3.93,3.05,3.16,3.36,4.38,4.38
MYCTH_t90,0,0,0,0,0,0,0,0,0,0,0,0
MYCTH_2060641,19.13,19.11,20.16,20.48,23.85,22.1,18.99,21.51,18.75,12.29,12.25,11.15
MYCTH_2305186,9.05,8.77,8.71,22.61,20.44,20.77,4.74,4.27,6.2,7.83,9.85,6.92
MYCTH_2305189,62.85,64.23,65.13,69.11,71.78,72.47,46.08,45.13,50.23,49.49,46.74,51.36
MYCTH_2305190,21.04,21.72,24.53,30.81,30.42,34.44,18.68,18.92,22.78,22.63,21.21,23.05
MYCTH_2127135,33.44,28.47,33.87,36.47,40.11,39.89,27.87,24.29,28.7,22.51,24.6,31.69
MYCTH_2305193,6.69,5.89,5.55,12.33,14.23,16.5,5.05,3.15,6.15,4.4,4.75,4.73
MYCTH_111405,802.81,857.19,792.97,474.53,472.54,514.99,1203.56,1246.15,1221.63,421.27,419.89,502.42
MYCTH_2305195,8.51,7.16,6.43,17.97,18.8,21.15,5.63,3.95,6.33,6.51,5.02,6.96
MYCTH_2127139,83.06,99.79,91.37,59.81,70.82,70.53,79.42,70.92,77.03,52.51,50.3,60.26
MYCTH_2062826,36.24,37.42,28.3,40.73,37.72,40.41,23.18,19.82,23.62,22.56,23.11,24.71
MYCTH_2305200,17.65,16.62,15.71,22.34,25.78,24.87,10.84,10,10.53,14.13,14.04,14.85
MYCTH_2305202,2.86,3.38,3.5,4.67,4.74,4.99,1.67,1.45,1.36,2.46,2.5,1.97
MYCTH_2305205,19.49,17.77,17.55,40.01,42.8,39.42,16.24,14.06,17.1,18.04,18.92,20.55
MYCTH_2093040,5.02,4.45,4.4,9.77,10.59,11.38,4.05,3.44,4.41,7.08,7.22,7.68
MYCTH_2305210,38.61,32.96,33.17,30.5,36,38.89,68.77,72.94,75.56,33.41,36.32,32.32
MYCTH_2305213,18.91,15.69,14.15,27.58,28.65,30.73,13.5,12.09,14.09,20.03,19.33,19.03
MYCTH_2127147,1.74,0.84,1.64,2.87,2.61,2.52,1.29,1.04,1.8,2.67,2.32,2.42
MYCTH_67060,15.85,13.43,14.77,153.99,155.39,144.78,17.08,13.31,19.24,123.24,125.95,120.27
MYCTH_2305218,16.82,17.49,16.39,31.84,33.07,31.06,15.63,13.34,15.63,34.12,34.46,33.77
MYCTH_2118584,0.05,0.19,0.06,0.13,0.18,0.09,0.08,0.06,0.13,0.13,0.16,0.14
MYCTH_2305224,12.41,12.89,12.52,17.59,18.19,17.88,10.97,10.04,13.21,15.65,12.94,13.78
MYCTH_2305231,6.92,6.87,7.15,16.43,20.99,21.15,4.69,3.22,6,8.05,8.01,7.79
MYCTH_67051,20.25,22.63,19.93,26.03,25.42,28.07,15.96,13.09,17.96,15.66,16.96,18.97
MYCTH_101411,49.91,51.83,50.44,30.24,30.43,32.51,39.79,39.71,36.63,23.76,23.86,29.42
MYCTH_2305251,11.45,10.3,11.49,16.81,16.37,16.77,6.5,5.27,8.14,9.05,9.83,9.93
MYCTH_2305258,24.61,22.2,25.4,52.83,52.33,49.81,15.03,15.41,17.97,35.3,33.4,31.57
MYCTH_2305259,12.66,12.2,9.61,22.41,19.39,23.3,8.07,6.64,9.68,12.81,12.03,13.87
MYCTH_2139278,0.35,0.08,0.32,1.5,1.28,0.7,0.19,0,0.25,0.72,0.52,0.52
MYCTH_101406,27.81,28.27,25.49,15.62,15.36,16.86,25.47,25.34,26.72,10.04,9.53,11.73
MYCTH_2305262,6.29,5.3,6.93,8.85,10.57,10.86,5.61,5.55,4.62,6.54,6.71,4.79
MYCTH_2305264,32.39,35.62,32.55,28.86,34.88,41.61,14.21,11.5,14.63,19.56,22.39,29.65
MYCTH_2305265,20.84,24.69,21.87,25.65,22.22,22.45,15.94,16.28,16.63,18.42,18.88,18.75
MYCTH_2305269,7.44,6.31,6.71,8.57,9.39,9.83,4.84,3.64,4.87,5.02,5.03,4.6
MYCTH_2093073,13.38,13.74,14.69,16.08,17.45,19.59,12.05,7.65,9.23,8.34,9.69,10.99
MYCTH_t85,0,0,0,0.34,0,0,0,0,0,0,0,0
MYCTH_111388,7.93,2.49,7.6,96.8,102.5,99.21,113.8,4.32,352.45,337.37,369.37,297.42
MYCTH_101399,1.61,1.85,1.46,3.5,3.54,3.53,0.92,0.91,0.73,1.61,1.96,1.69
MYCTH_2305285,1.89,2.25,3.29,4.33,4.08,5.05,1.28,1.22,2.11,1.62,1.89,3.03
MYCTH_2305288,9.47,9.81,9.01,13.23,13.01,11.89,5.74,5.17,6.36,7.24,7.64,8.15
MYCTH_2305292,20.99,22.18,19.11,34,36.64,36.54,16.18,17.9,15.23,20.08,20.2,19.55
MYCTH_2305293,67.17,72.71,67.96,21.02,20.57,24.36,52.35,58.39,58.06,17.25,17.53,22.64
MYCTH_101394,170.93,153.27,133.23,57.32,59.64,63.71,249.47,301.78,272.41,61.66,65.06,54.38
MYCTH_2315354,109.68,112.35,102.46,154.95,163.7,170.43,60.99,51.72,62.22,73.37,85.04,81.4
MYCTH_2305305,49.09,43.52,45.42,43.92,44.38,41.54,44.37,48.62,39.99,34.54,38.31,35.83
MYCTH_67016,38.2,34.98,34.46,44.71,41.56,44.35,32.17,30.11,32.93,31.03,32.71,29.58
MYCTH_2305315,83.76,80.6,76.18,101.27,98.39,97.4,90.7,89.67,109.83,72.65,78.52,69.21
MYCTH_2305316,0.98,0.65,0.65,1.4,1.25,1.52,0.47,0.64,1.41,1.32,0.37,0.63
MYCTH_2305317,14.85,13.89,13.57,11.71,12.43,11.78,8.53,8,7.95,7.89,8.66,7.98
MYCTH_2118610,12.17,11.82,10.69,15.43,15.72,17.29,6.7,5.94,6.33,7.42,8.16,8
MYCTH_2060581,0,0,0,0,0,0,0,0,0,0,0,0
MYCTH_2062106,0,0,0,0,0,0,0,0,0,0,0,0
MYCTH_36895,1.65,1.46,0.94,1.78,3.35,2.11,0.92,0.58,0.97,0.62,0.72,2.28
MYCTH_2062582,97.59,88.15,84.82,79.24,76,77.68,99.2,91.43,91.18,80.63,79.78,79.73
MYCTH_48804,0.87,0.88,0.95,3.95,2.79,2.52,3.91,0.71,12.21,4.57,3.33,3.28
MYCTH_2305327,30.05,29.12,31.28,169.95,172.04,169.05,54.65,55.83,48.37,38.45,37.4,37.37
MYCTH_2305328,2.07,1.82,2.75,12.8,16.95,10.5,2.19,1.17,2.14,3.16,4.02,4.27
MYCTH_93648,0.2,0.3,0.43,1.36,0.85,1.34,0.35,0.07,0.18,0.23,0.49,0.49
MYCTH_2305331,8.53,9.76,8.24,21.65,22.82,21.76,5.75,5.46,6.7,11.76,12.21,11.9
MYCTH_2305333,10.68,10.13,10.81,18.92,18.94,17.61,7.02,6.23,7.53,13.68,13.08,11.99
MYCTH_2305336,122.44,111.99,130.22,58.22,51.47,52.88,66.92,59.77,37.19,152.75,152.05,141.59
MYCTH_2305337,21.16,20.75,20.08,26.07,23.89,22.97,14.12,16.17,13.6,19.54,20.77,20.48
MYCTH_2127191,0.06,0.04,0.2,0.18,0.17,0.18,0.11,0.02,0.07,0.03,0.02,0.17
MYCTH_2305340,58.45,57.53,55.82,59.14,60.53,63.66,52.2,49.44,59.66,46.09,46.68,45.63
MYCTH_2305342,13.88,14.82,15.13,17.05,19.76,16.62,7.71,7.1,8.54,9.78,10.39,12.26
MYCTH_111377,85.55,100.21,90.38,54.59,53.41,56.67,71.48,71.37,85.15,46.13,42.71,53.22
MYCTH_2127197,0.21,0.22,0.4,0.82,0.89,0.2,0,0,0,0,0.27,0
MYCTH_2305345,7.67,8.7,7.7,11.37,12.94,11.63,4.39,4.11,4.8,7.55,7.42,6.52
MYCTH_80312,7.3,1.95,8.53,54.58,54.65,58.94,126.21,2.46,145.79,185.08,200.08,160.26
MYCTH_t86,0,0,0,0,0,0,0,0,0,0,0,0
MYCTH_2305349,6.63,6.98,7.69,8.49,7.86,8.87,5.16,4.33,4.79,5.32,6.71,4.58
MYCTH_2305350,30.08,31.76,30,38.96,40.67,45.76,25.3,21.11,23.23,32.59,32.35,35.89
MYCTH_50083,42.91,45.32,40.79,54.23,60.13,56.94,41.61,38.73,63.75,39.48,39.29,46.21
MYCTH_2305356,30.26,32.1,28.3,27.16,27.14,30.42,24.31,21.07,26.9,19.05,20.18,24.8
MYCTH_2305357,0.19,0.37,0.39,0.3,0.25,0.35,0.37,0.07,0.2,0.34,0.7,0.48
MYCTH_80304,2.83,2.08,3.27,3.6,4.31,3.9,1.62,1.57,1.67,3.1,3.56,3.12
MYCTH_t89,0,0,0,0,0,0,0,0,0,0.22,0,0
MYCTH_2134354,0.22,0.33,0.22,0.6,0.67,0.56,0.1,0.22,0.2,0.33,0.37,0.19
MYCTH_2037651,0,0,0,0,0,0,0,0,0,0,0,0
MYCTH_66978,0,0,0,0,0.09,0.05,0,0,0,0,0,0
MYCTH_80299,0,0,0,0,0,0,0,0,0,0,0,0
MYCTH_2061412,0,0,0,0,0,0,0,0,0,0,0,0
MYCTH_2305366,3.57,4.47,5,17.34,11.31,10.17,3.64,3.39,4.27,8.61,8.23,8.33
MYCTH_2043664,0.18,0.19,0.23,1.2,0.45,0.55,0.17,0.09,0.06,0.27,0.23,0.16
MYCTH_2080506,156.56,145.13,145.62,134.8,130.52,129.26,148.08,158.72,133.97,101.98,104.65,111.63
MYCTH_2305371,15.68,15.87,14.63,23.12,23.4,24.39,11.91,8.65,11.34,11.74,11.19,13.15
MYCTH_2305375,2.11,1.9,2.4,7.03,7.13,7.32,2.25,2.27,2.17,4.24,3.84,3.63
MYCTH_2305377,0,0,0.06,0.08,0.21,0,0.12,0.09,0.08,0.11,0.04,0.17
MYCTH_2305379,0.42,0.28,0.35,1.13,1.15,1.09,0.23,0.08,0.37,0.65,0.64,0.65
MYCTH_2305381,1.94,1.34,1.32,2.42,2.91,2.49,1.16,1.05,1.23,1.39,1.41,1.69
MYCTH_2305382,14.2,15.35,14.83,21.06,24.92,25.34,9.91,9.72,12.93,13.74,14.39,15.82
MYCTH_2060238,1.4,1.1,0.88,2.12,2.67,2.54,1.51,1.02,0.82,1.46,1.92,2.37
MYCTH_2110542,0,0.06,0,0.03,0,0.07,0,0,0,0.09,0.05,0.05
MYCTH_2110543,0,0,0,0,0.15,0,0.09,0.1,0.05,0,0,0
MYCTH_2093133,2.35,1.8,1.82,2.7,2.98,3.02,1.8,1.45,5.97,4,4.03,3.38
MYCTH_2305389,1.38,0.92,1.31,1.42,1.19,1.05,0.86,0.93,2.87,1.62,1.33,1.85
MYCTH_2305390,0,0,0.13,0.29,0.21,0.06,0.28,0,3.58,0.88,0.62,0.27
MYCTH_111372,6.09,1.18,5.78,88.18,92.14,90.41,90.59,3.59,470.8,182.99,197.43,164.83
MYCTH_80276,18.63,17.15,19.02,33.56,43.87,36.94,27.94,19.39,23.47,21.16,28.48,23.26
MYCTH_2305394,18.47,19.74,16.44,26.53,25.67,28.68,11.37,10.65,13.29,17.68,16.44,12.44
MYCTH_2305395,11.33,9.37,12.17,16.6,16.23,17.48,6.8,5.73,8.19,9.47,10.26,8.76
MYCTH_2305398,2.16,1.82,2.12,1.8,2.11,2.51,1.47,1.35,1.97,1.74,1.18,1.61
MYCTH_t88,0.82,0,0,0,0,0,0,0.28,0,0,0.47,0
MYCTH_2060403,0.02,0,0.21,0.19,0,0.07,0.14,0,4.04,0.04,0.38,0.13
MYCTH_80274,7.89,7.85,6.93,152.52,166.5,165.38,4.02,2.5,3.22,50.13,51.24,54.74
MYCTH_2305399,0.52,0.08,1.6,0.83,0.78,0.95,0.49,0.41,0.81,0.76,0.41,0.3
MYCTH_2305401,0.39,0.2,0.36,0.37,0.69,0.36,0.28,0.17,0.18,0.74,0.32,0.25
MYCTH_2060712,0,0,0,0,0,0.18,0,0,0,0,0,0
MYCTH_2305403,0.57,0.35,0.43,0.75,1.33,1.13,0.66,0.19,0.74,0.5,0.77,0.43
MYCTH_50538,0,0,0,0,0,0,0,0,0,0,0,0
MYCTH_101354,0.06,0.03,0.05,1.19,1.37,1.16,2.8,0.03,0.5,3.95,4.3,3.4
MYCTH_2305406,4.77,5.43,6.27,13.04,15.11,14.64,7.7,3.4,5.58,5.23,9.81,9.02
MYCTH_2305407,127.97,116.3,117.75,150.84,161.19,157.46,119.19,109.75,123.81,127.65,136.54,137.79
MYCTH_2315372,7.11,6.79,7.27,13.88,12.75,11.49,6.29,5.56,5.37,5.59,9.18,8.95
MYCTH_49355,40.8,41.1,38.96,56.64,51.64,49.89,36.72,39.73,36.82,29.62,36.87,38.62
MYCTH_2110559,0.46,0.42,0.72,1.25,1.23,1.46,0.38,0.45,0.58,0.54,0.43,0.38
MYCTH_93602,0,0,0,0,0.08,0,0,0,0,0,0,0
MYCTH_2118654,0.12,0,0.13,0.29,0.3,0.81,0.18,0.11,0.85,0.16,0.2,0.08
MYCTH_2118655,0.24,0.15,0.02,0.51,0.9,0.65,0.65,0.03,4.49,0.6,0.53,0.39
MYCTH_2305413,28.54,33.76,28.99,22.52,23.67,27.32,18.28,16.61,18.95,14.58,13.75,21.68
MYCTH_2305415,0.87,0.72,0.82,1.39,1.11,1.35,0.49,0.32,1,0.51,0.54,1.29
MYCTH_66924,0.38,0.67,0.37,0.28,0.89,0.84,0.3,0.46,0.16,0.68,0.57,0.26
MYCTH_2118656,0.07,0.03,0.08,0,0,0.07,0,0,0.11,0.05,0,0
MYCTH_50286,0.25,0.09,0.12,0.17,0.03,0.08,0.28,0.18,0.38,0.04,0.15,0.13
MYCTH_2305417,0,0,0.06,0.06,0,0.12,0,0,0.41,0.06,0.22,0.1
MYCTH_2305418,3,2.72,2.64,3.26,4.05,3.3,2.31,1.95,2.02,1.37,2.04,1.97
MYCTH_101345,19.46,24.58,21.12,16.21,15.3,16.64,12.38,7.06,10.01,16.26,15.4,20.26
MYCTH_2305420,7.25,7.01,5.52,4.05,2.91,2.7,20.48,29.39,30.39,7.67,7.77,5.12
MYCTH_2305421,0.45,0.77,0.57,1.49,0.75,1.34,0.26,0.76,1.18,0.57,1.45,0.7
MYCTH_2127263,0.16,0,0.15,0.59,0.31,0.45,0,0.16,0,0.35,0.14,0.32
MYCTH_2305422,0.47,1.02,1.09,7.7,7.17,6.85,3.19,1.32,3.05,7.16,7.51,8.7
MYCTH_2110569,0,0,0,0,0,0,0,0,0,0,0.02,0
MYCTH_93590,0,0.05,0,0,0,0.09,0,0.05,0,0,0,0
MYCTH_93589,0.07,0,0,0,0,0.03,0,0,0,0.03,0.03,0
MYCTH_2144007,0.2,0.22,0.3,4.05,3.86,4.18,1.06,0.19,2.96,3.37,3.79,2.74
MYCTH_2305424,205.43,193.69,203.01,207.34,216.35,212.76,217.85,207.52,231.43,220,214.8,205.43
MYCTH_2305427,20.28,20.56,19.58,33.9,35.87,37.31,10.29,10.57,12.23,17.13,17.2,16.73
MYCTH_93585,0.06,0.06,0.03,0.15,0.35,0.23,0.17,0.12,0,0.1,0.07,0.17
MYCTH_2118664,0,0,0,0,0,0.03,0,0.03,0,0,0.03,0.09
MYCTH_2305429,12.12,12.24,11.9,15.18,16.54,16.47,10.62,9.26,13.73,7.21,9.57,9.09
MYCTH_2305433,72.18,71.09,69.75,107.53,108.5,101.71,89.08,102.28,93.9,59.93,61,57.4
MYCTH_2060085,0.39,0.26,0.03,0.03,0.05,0.06,0.2,0.03,0.67,0.08,0.03,0.06
MYCTH_2305436,16.71,17.77,19.11,15.69,13.46,11.07,14.64,11.49,7.64,16.13,17.19,15.7
MYCTH_2118668,1.16,1.47,1.27,3.84,3.68,3.08,0.9,0.35,0.94,1.28,1.04,1.24
MYCTH_2305438,0.17,0.29,0.1,0.25,0.17,0.26,0.1,0.02,0.11,0.42,0.07,0.15
MYCTH_2305439,0.17,0.7,0.46,0.22,0.4,0.38,0.44,0.2,0.29,0.47,0.37,0.42
MYCTH_2127280,0.12,0.26,0.08,0.12,0.09,0.08,0.04,0,0.08,0,0,0
MYCTH_2305442,31.38,36.38,36.32,15.02,18.91,20.25,27.27,26.36,27.68,12.51,11.96,10.54
MYCTH_93575,2.46,1.47,1.28,1.14,1.77,0.84,3.23,1.55,4.47,2.69,1.29,1.08
MYCTH_2305443,0.84,0.74,0.67,0.69,0.47,0.4,1.21,0.63,1.21,0.54,0.68,0.84
MYCTH_80233,1.07,0.22,3.45,29.6,31.51,31.73,68.61,0.36,175,118.98,127.82,97.11
MYCTH_2305447,1.48,1.37,0.77,9.34,9.92,11.57,1.95,1.27,5.28,7.75,7.78,9
MYCTH_2305448,29.22,26.68,28.54,41.51,41.76,42.78,24.55,22.72,22.11,41.65,39.23,36.58
MYCTH_2127287,1.13,1.08,1.37,5.74,5.72,5.14,1.06,0.89,0.86,2.93,2.73,1.89
MYCTH_2305452,0.46,0.49,0.26,0.2,0.16,0.25,0.1,0,0.86,0.59,0.29,0.27
MYCTH_2305453,19.42,22.33,19.97,35.74,39.45,37.5,11.49,13.87,11.06,14.14,14.71,15
MYCTH_2305454,0.12,0.1,0.12,0.71,0.86,0.62,0.27,0.17,0.24,0.51,0.58,0.44
MYCTH_80223,7.22,5.96,6.12,10.51,11.05,11.33,4.9,4.75,4.55,8.24,7.87,7.5
MYCTH_2305455,6.73,9.41,10.18,17.11,12.83,10.69,12.69,14.42,14.58,8.39,8.72,7.93
MYCTH_2305456,5.47,5.83,5.84,10.08,9.81,8.21,5.34,6.35,7.87,5.91,6.61,6.77
MYCTH_2061275,0.46,0.31,0.82,2.14,2.17,1.77,0.47,0.31,0.26,1.28,0.42,0.91
MYCTH_2305458,17.17,17.16,15.29,45.04,46.48,45.87,11.74,11.58,15.86,23.73,23.31,24.83
MYCTH_2305460,2.72,2.4,3.24,8.43,8,8.73,1.74,1.75,1.35,4.83,4.28,4.66
MYCTH_2305461,12.27,11,12.4,18.68,17.47,18.61,10.82,9.68,11.86,11.19,9.4,8.49
MYCTH_2305464,3.55,4.17,3.82,2.19,2.38,2.83,8.83,12.84,13.21,1.83,2.14,2.41
MYCTH_2305468,27.57,24.22,25.48,11.94,7.27,6.12,32.91,29.25,39.02,8.03,8.03,7.59
MYCTH_2315383,61.89,50.47,50.87,1.79,1.18,1.05,130.47,165.08,181.67,3.71,4.07,2.55
MYCTH_2038764,0.68,0.69,0.49,1.63,1.36,1.68,0.41,0.62,0.23,0.86,0.61,0.32
MYCTH_2305470,20.61,19.38,18.68,42.53,39.74,38.75,22.01,25.55,17.92,33.28,33.83,34.56
MYCTH_93554,0.05,0,0.06,0,0,0,0.17,0.22,0.09,0.06,0.02,0
MYCTH_2062163,0.3,0.16,0.46,0.27,0.35,0.48,0.54,0.53,0.57,0.82,7.23,0.34
MYCTH_101321,0.26,0.22,0.22,0.46,0.37,0.39,0.18,0.17,0.23,0.33,0.53,0.26
MYCTH_2305498,19.19,25.79,20.55,33.67,33.67,37.25,24.84,29.2,27.69,26.22,31.83,31.08
MYCTH_2139328,130.37,131.22,116.39,150.41,156.23,154.87,71.5,71.33,70.19,75.55,79.05,79.59
MYCTH_2305501,295.03,325.37,287.71,502.74,501.53,506.62,191.37,204.66,166.93,307.05,300.37,336.38
MYCTH_2118714,21.71,19.17,17.86,40.64,40.8,41.77,14.35,14.91,15.42,20.65,22.96,19.07
MYCTH_2061857,4.92,4.41,4.36,14.8,16.95,15.83,2.44,2.3,3.09,5.78,6.15,4.83
MYCTH_2305504,10.4,11.37,14.23,17.9,18.33,20.09,9.91,10.15,9.5,10.26,9.54,9.56
MYCTH_2305506,10.73,10.99,10.31,19.27,20.27,21.61,6.98,5.95,6.45,12.19,12.41,11.86
MYCTH_2305507,17.77,18.33,15.61,26.8,30.04,30.22,7.11,4.54,7.45,14.47,14.79,14.44
MYCTH_2305509,50.36,50.04,46.49,31.14,35.67,34.22,35.66,37.82,37.61,26.45,22.39,24.38
MYCTH_2305512,7.12,8.11,6.8,23.11,22.87,24.12,4.03,2.83,4.11,6.87,7.91,8.68
MYCTH_2305513,11.01,11.91,10.63,14.81,16.79,16.85,7.98,7.78,8.98,11.63,10.89,9.88
MYCTH_2305515,7.45,7.36,7.12,15.84,17.71,16.28,4.34,2.72,4.28,9.26,9.57,9
MYCTH_2080603,136.11,126.83,129.9,137.87,147.29,150.62,105.99,86.21,112.13,106.05,105.79,123.84
MYCTH_2305519,11.37,11.69,10.99,9.43,11.63,11.98,8.85,8.35,8.79,6.45,6.44,6.53
MYCTH_2305522,8.55,8.32,8.92,14.27,15.75,14.99,7.64,6.95,8.23,12.42,11.6,10.46
MYCTH_49824,16.45,5.04,27.01,606.66,616.07,621.8,82.52,5.34,81.82,894.34,926.72,870.21
MYCTH_49210,3.55,4.05,4.53,38.45,45.11,45.44,2.94,3.11,2.86,36.54,38.83,39.67
MYCTH_33039,0.14,0.27,0.28,0.68,0.78,0.64,0.11,0.09,0.36,0.54,0.39,0.79
MYCTH_93534,0,0,0.03,0,0,0,0,0,0,0,0.03,0.02
MYCTH_2059965,0.33,0.28,0.4,0.48,0.27,0.1,0.17,0.09,0.48,0.14,0.58,0.07
MYCTH_2060315,0.03,0,0.03,0.28,0.33,0.22,0.11,0.06,0,0.08,0.05,0.06
MYCTH_2305529,2.91,3.06,3.41,14.87,15.44,13.52,3.12,2.8,3.48,8.08,8.53,9.05
MYCTH_2305531,0.81,0.77,0.88,2.67,2.67,3.29,1.88,1.56,2.02,1.96,1.9,2.38
MYCTH_2110630,0,0,0,0.09,0.15,0,0.06,0.09,0.24,0.06,0.04,0.09
MYCTH_115501,2.24,2.05,2.64,15.49,15.04,14.24,4,3.98,6.04,11.7,10.59,11.56
MYCTH_2305543,12.48,11.07,12.09,25.77,26.54,28.95,10.68,9.36,18.3,24.19,20.16,22.18
MYCTH_2305546,2.21,2.7,2.63,3.89,4.23,4.32,2.25,1.26,5.47,3.8,3.62,3.99
MYCTH_2305551,14.21,13.93,12.34,39.56,44.68,49.93,14.57,13.35,14,30.74,28.16,34.1
MYCTH_2110635,0.08,0.1,0,0.06,0.01,0.04,0.04,0.06,0,0.03,0.07,0.08
MYCTH_2127338,0,0,0.38,0.39,1.04,0.32,0.88,0.07,0.79,0.3,0.06,0.41
MYCTH_50608,1.41,1.25,2.27,2.69,2.86,3.57,1.88,1.5,1.07,4.89,5.39,4.5
MYCTH_2315393,0.72,0.7,0.23,1.64,1.58,1.75,0.34,0,0.57,0.51,0.57,0.9
MYCTH_2305555,10.01,11.13,11.5,14.63,13.58,17.29,7.72,10.11,9.7,11.37,12.33,12.95
MYCTH_2305556,11.27,10.52,11.2,21.79,23.38,23.42,4.11,3.44,5.85,9.4,9.73,9.22
MYCTH_50523,8.43,7.61,7.27,10.2,12.02,13.91,4.2,3.37,4.72,5.02,5.63,5.42
MYCTH_50820,11.61,12.14,13.37,48.49,49.12,51.25,15.23,10.97,70.33,59.25,58.9,53.7
MYCTH_2305566,0.45,0.09,0.25,0.48,0.44,0.33,0.16,0.12,0.4,0.25,0.22,0.18
MYCTH_2060437,2.66,3.12,1.97,6,5.39,7.97,2.28,0.88,3.73,3.89,3.34,4.71
MYCTH_33003,1.87,1.89,1.81,4.05,5.39,5.02,2.04,1.14,3.95,2.52,2.21,1.51
MYCTH_2060709,2.65,1.53,2.59,4.65,5.6,5.69,2.27,1.99,3.04,3.69,3.18,2.58
MYCTH_2305568,6.84,5.5,4.44,9.79,9.22,9.88,3.46,3.97,4.43,6.04,5.75,5.45
MYCTH_2061852,2.37,0.86,1.46,5.79,7.46,7.03,0.8,0.54,0.69,2.64,2.38,1.65
MYCTH_2305570,1.66,0.86,2.3,3.22,4.48,5.07,0.48,0.74,1.12,1.63,1.88,1.67
MYCTH_2040748,7.71,8.95,7.93,6.72,9.12,6.28,7.44,9.64,10.42,5.76,6.6,6.22
MYCTH_2305573,65.66,64.18,59.87,13.62,10.47,9.45,140.43,167.62,142.56,21.38,17.54,19.58
MYCTH_2305575,1190.65,1276.45,1113.56,789.33,835.64,895.31,1038.05,1018.25,1008.43,654.34,669.01,732.09
MYCTH_2305576,33.65,34.86,35.3,49.72,52.72,53.12,26.01,24.37,26.93,28.95,28.08,28.96
