Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MYCTH_2299125	10537.9177342137	0.0568184264341015	0.0614761542792209	0.924235211201335	0.355363866651874	0.389078224030175
MYCTH_2299128	196.217495120608	-0.897652511296427	0.207611756569991	-4.3237075112064	1.53428684416878e-05	2.53093782443021e-05
MYCTH_2299129	2486.58966391848	0.232321273029784	0.0723900412132868	3.20929880873093	0.00133059131592647	0.0019101179276242
MYCTH_2299133	750.603081870743	0.859043837437789	0.109912837736077	7.81568245467853	5.46660295088505e-15	1.46787460233392e-14
MYCTH_2299134	1264.92656565251	0.458378083881835	0.0931581951691933	4.92042684005773	8.63556754975129e-07	1.55382149461064e-06
MYCTH_2299136	2716.45647412898	0.27301914378327	0.0670364833153286	4.07269490105907	4.64722831929514e-05	7.43678118073711e-05
MYCTH_2299137	1068.52696678156	0.965714040608084	0.1186112696321	8.14184051484712	3.89313856136154e-16	1.09122571197836e-15
MYCTH_2299139	2071.02416390103	0.457104721566837	0.100245144975751	4.5598689260952	5.11855591939864e-06	8.74854178399412e-06
MYCTH_2299142	813.773812372508	1.26267112961514	0.100553342318784	12.557226845947	3.62827872836392e-36	1.84494956953564e-35
MYCTH_2051357	3671.32210393002	1.73813673460232	0.0716190326825689	24.2692014887456	4.14665300855409e-130	8.51505748495172e-129
MYCTH_2299145	633.710966008175	-0.972019088208218	0.104310660478374	-9.3185019033576	1.17994488634393e-20	3.83012436003148e-20
MYCTH_2299147	2651.26712480805	0.860084655155475	0.0753090860133914	11.4207289011918	3.29459088461941e-30	1.43060759355964e-29
MYCTH_2299149	1012.15107198927	0.744412391736598	0.0959463641513013	7.75863054656983	8.58513435621659e-15	2.28589880262073e-14
MYCTH_2049301	419.794634753743	1.5010782825989	0.165234049791196	9.08455784080695	1.04121020926022e-19	3.28393481469439e-19
MYCTH_2299151	373.090797250919	1.31331642919407	0.139583669422869	9.40881146501014	5.01778575183497e-21	1.65513479942076e-20
MYCTH_2299152	120.32358029823	0.0270063535087472	0.232805104662298	0.116004129496739	0.907649269028661	0.917615193706307
MYCTH_2299155	2321.83038228897	0.442863986401082	0.096072056363554	4.60970653865474	4.0323775825049e-06	6.94194797727975e-06
MYCTH_2116126	176.199843517363	1.29115550084337	0.237411728381043	5.43846552842191	5.37414047308558e-08	1.03599200520108e-07
MYCTH_2299157	1394.08485305537	0.178194992860663	0.0800402238487673	2.22631802226534	0.0259928871464183	0.0332403065464128
MYCTH_104887	966.195012446379	0.704729796558975	0.110529735356045	6.37592946630025	1.81856613186335e-10	4.00936709246804e-10
MYCTH_2299158	1418.5531967497	2.55069397343049	0.108285050324257	23.5553658218978	1.10606937336149e-122	2.11885280628512e-121
MYCTH_109620	26740.2489471474	-1.07651684623924	0.0511775101274399	-21.0349593709921	3.1404204500435e-98	4.67676875021261e-97
MYCTH_2299167	1522.92616625266	0.210522279702527	0.0814478347218199	2.58474986378155	0.00974496666320173	0.012949433509776
MYCTH_2050929	1731.63578135161	-0.0286143098479126	0.0766917616344622	-0.373108000625904	0.709068064310682	0.73490073041544
MYCTH_2299172	499.868124437782	-1.65951239994655	0.115368193909003	-14.3844879920327	6.47555506312164e-47	4.1473581155954e-46
MYCTH_2299174	215.706296953904	-1.18096849346034	0.169491466207148	-6.96771654578168	3.22126408935905e-12	7.71787476138264e-12
MYCTH_2299175	449.818289633471	-1.02369220030285	0.119535117479517	-8.56394523959262	1.09069656084792e-17	3.21945351621534e-17
MYCTH_2299177	4378.61575481299	0.781489890943093	0.0633548979442544	12.3351140369719	5.86058923729784e-35	2.89747261195043e-34
MYCTH_2299178	1245.45363583709	0.807828365485879	0.091932102788371	8.78722819324073	1.53295199897578e-18	4.66975025515104e-18
MYCTH_2050951	36.9759909276838	-1.06817478054184	0.411363371989694	-2.59666964361767	0.0094132409649849	0.0125222281160736
MYCTH_2299180	962.805865657805	-0.898300365184214	0.101375647900215	-8.86110603276658	7.92244701632539e-19	2.43853033072589e-18
MYCTH_2299181	428.412937100455	0.308503759693621	0.165851314605126	1.86012248638568	0.0628681984652065	0.0769167571735338
MYCTH_2299183	1367.22997634973	-0.279609205976116	0.0899770245726774	-3.10756226163343	0.00188637245788859	0.00267877402270315
MYCTH_2299189	4388.78457069767	1.55116486638679	0.0606660309002776	25.5689195974694	3.38290912308866e-144	7.95820077500225e-143
MYCTH_2299193	1417.18560675803	-0.787912493352734	0.0877782199033068	-8.97617306685724	2.80348256569853e-19	8.7200222339544e-19
MYCTH_2299195	4818.087933534	-1.337146786306	0.060870394785808	-21.9671121078018	5.9429064186253e-107	9.56562174110685e-106
MYCTH_73708	5847.00592800706	-0.81972153968223	0.0570826460798505	-14.360258256696	9.18841121038271e-47	5.87166904436621e-46
MYCTH_2299199	2049.015435238	-1.11931084644376	0.0679411644309187	-16.47470801861	5.57571058079806e-61	4.76495106820097e-60
MYCTH_89563	3483.48014938282	-0.544968538555427	0.0621893490812649	-8.76305262245627	1.90032897543304e-18	5.77449148922395e-18
MYCTH_2299204	884.791201807911	-0.389812347990384	0.0897177371449811	-4.34487494218071	1.39355030292497e-05	2.30856475990452e-05
MYCTH_2299207	1971.81245518084	-0.854332237164163	0.0792604562148053	-10.7787953534966	4.33525897997603e-27	1.70288177273095e-26
MYCTH_2132763	2999.94564978122	-0.685035632379256	0.0801599225813608	-8.54586195095133	1.27580448784755e-17	3.75419719224693e-17
MYCTH_2299213	15358.6424616565	-0.366928047751817	0.060849570148439	-6.03008446660704	1.63874005847684e-09	3.44610292748949e-09
MYCTH_2299217	2470.73868030886	-0.105311383789569	0.0738945058924216	-1.42515850830487	0.15411138708236	0.179033483596018
MYCTH_2299218	3791.59043416494	-0.889059899004449	0.0698954975062697	-12.7198450647654	4.5876894314486e-37	2.38520853682419e-36
MYCTH_2299220	8019.82586509092	2.16055310627949	0.0969736469207412	22.2797963661752	5.80210649943423e-110	9.66603851257885e-109
MYCTH_2299223	638.861022602633	0.681685397352067	0.109540961037954	6.22310951896686	4.87396896822842e-10	1.05313641874691e-09
MYCTH_73682	1402.21862182372	-0.202456902467021	0.088859260448358	-2.27839958880462	0.022702780883331	0.0292073186153791
MYCTH_2132770	152.217640301745	-1.43093356117414	0.217415458076726	-6.58156312266059	4.65527787184683e-11	1.05625713875528e-10
MYCTH_73679	11390.5689720935	1.08012573571771	0.0518335966500973	20.8383327711001	1.9449518839649e-96	2.79909629956159e-95
MYCTH_2314244	2178.49852171721	-0.4703837790852	0.0716052552286475	-6.56912369885683	5.06122269492416e-11	1.14684440160454e-10
MYCTH_2299238	1732.77036139206	-1.01128970586603	0.0782720423131871	-12.9201906067506	3.4628257846128e-38	1.85094739036451e-37
MYCTH_2033977	11365.5374916261	-0.273165020462813	0.0730207665132127	-3.74092239107604	0.000183346134566123	0.000281967124692835
