GO	GENE	CLASS
GO:0016491	MYCTH_2295307	MF
GO:0010181	MYCTH_2295307	MF
GO:0005524	MYCTH_2311467	MF
GO:0004672	MYCTH_2311467	MF
GO:0004497	MYCTH_2120988	MF
GO:0004520	MYCTH_2311298	MF
GO:0016787	MYCTH_2311298	MF
GO:0004519	MYCTH_2311298	MF
GO:0016021	MYCTH_2076157	CC
GO:0016192	MYCTH_2076157	BP
GO:0022857	MYCTH_2312265	MF
GO:0022857	MYCTH_2079864	MF
GO:0005515	MYCTH_2051335	MF
GO:0005515	MYCTH_2296679	MF
GO:0006364	MYCTH_2296679	BP
GO:0005484	MYCTH_2305591	MF
GO:0016614	MYCTH_2301462	MF
GO:0006629	MYCTH_2092688	BP
GO:0016491	MYCTH_2300877	MF
GO:0006914	MYCTH_2046198	BP
GO:0000045	MYCTH_2046198	BP
GO:0003824	MYCTH_99239	MF
GO:0016491	MYCTH_2297121	MF
GO:0016846	MYCTH_2301864	MF
GO:0046872	MYCTH_2308537	MF
GO:0004842	MYCTH_2308537	MF
GO:0003824	MYCTH_2311910	MF
GO:0016311	MYCTH_101588	BP
GO:0004672	MYCTH_74927	MF
GO:0005524	MYCTH_74927	MF
GO:0004674	MYCTH_74927	MF
GO:0006886	MYCTH_2298167	BP
GO:0005198	MYCTH_2298167	MF
GO:0004842	MYCTH_2081074	MF
GO:0003723	MYCTH_2081074	MF
GO:0003676	MYCTH_2081074	MF
GO:0006281	MYCTH_2296412	BP
GO:0003677	MYCTH_2296412	MF
GO:0005524	MYCTH_2296412	MF
GO:0000160	MYCTH_2310921	BP
GO:0016670	MYCTH_2308190	MF
GO:0001735	MYCTH_2308190	MF
GO:0016747	MYCTH_2298614	MF
GO:0016746	MYCTH_2298614	MF
GO:0008318	MYCTH_2121685	MF
GO:0000786	MYCTH_88687	CC
GO:0005869	MYCTH_2306711	CC
GO:0016614	MYCTH_98458	MF
GO:0050660	MYCTH_98458	MF
GO:0004609	MYCTH_2302034	MF
GO:0030488	MYCTH_83040	BP
GO:0005576	MYCTH_80233	CC
GO:0003723	MYCTH_2142074	MF
GO:0003676	MYCTH_2142074	MF
GO:0016829	MYCTH_103080	MF
GO:0003824	MYCTH_103080	MF
GO:0004553	MYCTH_43571	MF
GO:0016274	MYCTH_2295862	MF
GO:0004672	MYCTH_2308773	MF
GO:0005524	MYCTH_2308773	MF
GO:0005515	MYCTH_2301970	MF
GO:0004672	MYCTH_2294727	MF
GO:0005524	MYCTH_2294727	MF
GO:0017183	MYCTH_2295088	BP
GO:0006812	MYCTH_2306795	BP
GO:0003684	MYCTH_2306581	MF
GO:0016491	MYCTH_2305531	MF
GO:0005525	MYCTH_2132763	MF
GO:0005524	MYCTH_2294445	MF
GO:0004672	MYCTH_2294445	MF
GO:0016491	MYCTH_2315197	MF
GO:0005515	MYCTH_2312622	MF
GO:0008080	MYCTH_89710	MF
GO:0006364	MYCTH_2310708	BP
GO:0016491	MYCTH_2297550	MF
GO:0000981	MYCTH_2300589	MF
GO:0000814	MYCTH_2063758	CC
GO:0006744	MYCTH_70376	BP
GO:0005525	MYCTH_79688	MF
GO:0003723	MYCTH_2084160	MF
GO:0003676	MYCTH_2084160	MF
GO:0000981	MYCTH_2299532	MF
GO:0003677	MYCTH_2299532	MF
GO:0003723	MYCTH_2306966	MF
GO:0003676	MYCTH_2306966	MF
GO:0043461	MYCTH_2297787	BP
GO:0004356	MYCTH_78277	MF
GO:0016787	MYCTH_78277	MF
GO:0003824	MYCTH_78277	MF
GO:0016787	MYCTH_2301992	MF
GO:0008290	MYCTH_2063277	CC
GO:0050660	MYCTH_2124673	MF
GO:0016614	MYCTH_2124673	MF
GO:0003723	MYCTH_101575	MF
GO:0003676	MYCTH_101575	MF
GO:0004672	MYCTH_2305058	MF
GO:0005524	MYCTH_2305058	MF
GO:0005524	MYCTH_2310671	MF
GO:0004345	MYCTH_2074905	MF
GO:0006006	MYCTH_2074905	BP
GO:0022857	MYCTH_2145809	MF
GO:0016491	MYCTH_2301899	MF
GO:0000166	MYCTH_101411	MF
GO:0003735	MYCTH_101411	MF
GO:0008934	MYCTH_2067418	MF
GO:0046854	MYCTH_2067418	BP
GO:0046855	MYCTH_2067418	BP
GO:0016491	MYCTH_2306898	MF
GO:0003735	MYCTH_2059227	MF
GO:0004372	MYCTH_2067613	MF
GO:0003824	MYCTH_2067613	MF
GO:0030170	MYCTH_2067613	MF
GO:0016787	MYCTH_2306279	MF
GO:0009058	MYCTH_2310609	BP
GO:0003824	MYCTH_2310609	MF
GO:0017025	MYCTH_2310743	MF
GO:0000126	MYCTH_2310743	CC
GO:0006352	MYCTH_2310743	BP
GO:0005634	MYCTH_2303811	CC
GO:0016627	MYCTH_2302782	MF
GO:0003995	MYCTH_2302782	MF
GO:0020037	MYCTH_2302782	MF
GO:0004842	MYCTH_2298867	MF
GO:0019211	MYCTH_2306978	MF
GO:0005515	MYCTH_2308344	MF
GO:0006974	MYCTH_2308344	BP
GO:0007165	MYCTH_2304106	BP
GO:0003924	MYCTH_2295498	MF
GO:0005525	MYCTH_2295498	MF
GO:0016491	MYCTH_2312931	MF
GO:0000166	MYCTH_2311368	MF
GO:0022857	MYCTH_2303090	MF
GO:0016020	MYCTH_2303090	CC
GO:0016021	MYCTH_2303090	CC
GO:0016021	MYCTH_2096317	CC
GO:0006355	MYCTH_99040	BP
GO:0003714	MYCTH_99040	MF
GO:0006511	MYCTH_2302907	BP
GO:0019773	MYCTH_2302907	CC
GO:0005839	MYCTH_2302907	CC
GO:0016874	MYCTH_2091486	MF
GO:0005515	MYCTH_2140615	MF
GO:0003714	MYCTH_2299968	MF
GO:0022857	MYCTH_2294340	MF
GO:0004672	MYCTH_2300618	MF
GO:0004553	MYCTH_2094324	MF
GO:0033617	MYCTH_2294330	BP
GO:0005515	MYCTH_2312796	MF
GO:0050660	MYCTH_2110653	MF
GO:0071949	MYCTH_2110653	MF
GO:0016491	MYCTH_2110653	MF
GO:0035673	MYCTH_2303924	MF
GO:0055085	MYCTH_2303924	BP
GO:0007034	MYCTH_2309531	BP
GO:0016491	MYCTH_2311238	MF
GO:0022857	MYCTH_2311112	MF
GO:0016021	MYCTH_2311112	CC
GO:0005515	MYCTH_2311326	MF
GO:0016020	MYCTH_2298645	CC
GO:0005524	MYCTH_2297184	MF
GO:0005730	MYCTH_2300393	CC
GO:0016791	MYCTH_2310422	MF
GO:0000287	MYCTH_2143695	MF
GO:0019509	MYCTH_2143695	BP
GO:0004363	MYCTH_2304142	MF
GO:0016021	MYCTH_95427	CC
GO:0016020	MYCTH_95427	CC
GO:0022857	MYCTH_95427	MF
GO:0005506	MYCTH_2097429	MF
GO:0008420	MYCTH_2310220	MF
GO:0016973	MYCTH_2298612	BP
GO:0005515	MYCTH_2300435	MF
GO:0004252	MYCTH_2309268	MF
GO:0000981	MYCTH_2305395	MF
GO:0003677	MYCTH_2305395	MF
GO:0003676	MYCTH_2130105	MF
GO:0003824	MYCTH_2117072	MF
GO:0003697	MYCTH_2295852	MF
GO:0003677	MYCTH_2295852	MF
GO:0004518	MYCTH_2295852	MF
GO:0016788	MYCTH_2295852	MF
GO:0003700	MYCTH_37566	MF
GO:0003677	MYCTH_37566	MF
GO:0003735	MYCTH_2297518	MF
GO:0003723	MYCTH_2297518	MF
GO:0004672	MYCTH_2309731	MF
GO:0000808	MYCTH_2301067	CC
GO:0005254	MYCTH_2299976	MF
GO:0004386	MYCTH_2298080	MF
GO:0003677	MYCTH_2305684	MF
GO:0046872	MYCTH_2305684	MF
GO:0003743	MYCTH_2308199	MF
GO:0000731	MYCTH_2121306	BP
GO:0003677	MYCTH_108157	MF
GO:0003700	MYCTH_108157	MF
GO:0005515	MYCTH_2313954	MF
GO:0008410	MYCTH_2308492	MF
GO:0005507	MYCTH_48078	MF
GO:0005506	MYCTH_100089	MF
GO:0008641	MYCTH_59946	MF
GO:0019781	MYCTH_59946	MF
GO:0003942	MYCTH_2297430	MF
GO:0005737	MYCTH_2297430	CC
GO:0016620	MYCTH_2297430	MF
GO:0004066	MYCTH_2297132	MF
GO:0008496	MYCTH_83041	MF
GO:0005975	MYCTH_83041	BP
GO:0016592	MYCTH_2296357	CC
GO:0016491	MYCTH_2305468	MF
GO:0007076	MYCTH_70246	BP
GO:0000278	MYCTH_70246	BP
GO:0003676	MYCTH_2297055	MF
GO:0016788	MYCTH_2297055	MF
GO:0004518	MYCTH_2297055	MF
GO:0016020	MYCTH_2299288	CC
GO:0006888	MYCTH_2299288	BP
GO:0016791	MYCTH_72932	MF
GO:0022857	MYCTH_2307144	MF
GO:0004553	MYCTH_99786	MF
GO:0016491	MYCTH_2304244	MF
GO:0016620	MYCTH_2304244	MF
GO:0009058	MYCTH_2307549	BP
GO:0003723	MYCTH_2315354	MF
GO:0016791	MYCTH_2298714	MF
GO:0043813	MYCTH_2298714	MF
GO:0000009	MYCTH_2306681	MF
GO:0003847	MYCTH_2129891	MF
GO:0005576	MYCTH_96478	CC
GO:0006886	MYCTH_2294343	BP
GO:0016787	MYCTH_54712	MF
GO:0003677	MYCTH_2051009	MF
GO:0000981	MYCTH_2051009	MF
GO:0016301	MYCTH_2296575	MF
GO:0046854	MYCTH_2296575	BP
