GO	GENE	CLASS
GO:0005452	ANI_1_2290014	MF
GO:0016020	ANI_1_2290014	CC
GO:0006820	ANI_1_2290014	BP
GO:0016021	ANI_1_2290014	CC
GO:0006820	ANI_1_2290014	BP
GO:0005515	ANI_1_2292014	MF
GO:0022857	ANI_1_2294014	MF
GO:0022857	ANI_1_2294014	MF
GO:0055085	ANI_1_2294014	BP
GO:0020037	ANI_1_2296014	MF
GO:0004096	ANI_1_2296014	MF
GO:0006979	ANI_1_2296014	BP
GO:0055114	ANI_1_2296014	BP
GO:0020037	ANI_1_2296014	MF
GO:0004096	ANI_1_2296014	MF
GO:0004096	ANI_1_2296014	MF
GO:0055114	ANI_1_2296014	BP
GO:0020037	ANI_1_2296014	MF
GO:0055114	ANI_1_2296014	BP
GO:0020037	ANI_1_2296014	MF
GO:0006979	ANI_1_228014	BP
GO:0004096	ANI_1_228014	MF
GO:0055114	ANI_1_228014	BP
GO:0004601	ANI_1_228014	MF
GO:0020037	ANI_1_228014	MF
GO:0006979	ANI_1_228014	BP
GO:0055114	ANI_1_228014	BP
GO:0020037	ANI_1_228014	MF
GO:0004601	ANI_1_228014	MF
GO:0055114	ANI_1_228014	BP
GO:0004601	ANI_1_228014	MF
GO:0055114	ANI_1_2298014	BP
GO:0016491	ANI_1_2298014	MF
GO:0005975	ANI_1_236014	BP
GO:0030248	ANI_1_236014	MF
GO:0005576	ANI_1_236014	CC
GO:0005515	ANI_1_236014	MF
GO:0016491	ANI_1_238014	MF
GO:0010181	ANI_1_238014	MF
GO:0055114	ANI_1_238014	BP
GO:0016491	ANI_1_238014	MF
GO:0003824	ANI_1_238014	MF
GO:0055114	ANI_1_238014	BP
GO:0010181	ANI_1_238014	MF
GO:0016491	ANI_1_238014	MF
GO:0022857	ANI_1_2304014	MF
GO:0055085	ANI_1_2304014	BP
GO:0022857	ANI_1_2304014	MF
GO:0055085	ANI_1_2304014	BP
GO:0016021	ANI_1_2304014	CC
GO:0022857	ANI_1_2304014	MF
GO:0005975	ANI_1_2306014	BP
GO:0004553	ANI_1_2306014	MF
GO:0005975	ANI_1_2306014	BP
GO:0004563	ANI_1_2306014	MF
GO:0022857	ANI_1_244014	MF
GO:0055085	ANI_1_244014	BP
GO:0016020	ANI_1_244014	CC
GO:0009231	ANI_1_2310014	BP
GO:0008703	ANI_1_2310014	MF
GO:0055114	ANI_1_2310014	BP
GO:0016831	ANI_1_2316014	MF
GO:0006520	ANI_1_2316014	BP
GO:0003824	ANI_1_2316014	MF
GO:0016831	ANI_1_2316014	MF
GO:0030170	ANI_1_2316014	MF
GO:0016831	ANI_1_2316014	MF
GO:0019752	ANI_1_2316014	BP
GO:0022857	ANI_1_2330014	MF
GO:0022857	ANI_1_2330014	MF
GO:0055085	ANI_1_2330014	BP
GO:0004222	ANI_1_2332014	MF
GO:0008270	ANI_1_2332014	MF
GO:0005615	ANI_1_2332014	CC
GO:0009982	ANI_1_2336014	MF
GO:0003723	ANI_1_2336014	MF
GO:0001522	ANI_1_2336014	BP
GO:0009451	ANI_1_2336014	BP
GO:0006396	ANI_1_2336014	BP
