GO	GENE	CLASS
GO:0016021	TRIREDRAFT_34297	CC
GO:0005739	TRIREDRAFT_34306	CC
GO:0033617	TRIREDRAFT_34306	BP
GO:0003676	TRIREDRAFT_35183	MF
GO:0003723	TRIREDRAFT_35183	MF
GO:0005515	TRIREDRAFT_37262	MF
GO:0016567	TRIREDRAFT_37262	BP
GO:0004842	TRIREDRAFT_37262	MF
GO:0008168	TRIREDRAFT_39285	MF
GO:0008139	TRIREDRAFT_40053	MF
GO:0006913	TRIREDRAFT_40053	BP
GO:0017056	TRIREDRAFT_40053	MF
GO:0005643	TRIREDRAFT_40053	CC
GO:0016021	TRIREDRAFT_41325	CC
GO:0016125	TRIREDRAFT_41800	BP
GO:0016021	TRIREDRAFT_41800	CC
GO:0047750	TRIREDRAFT_41800	MF
GO:0006364	TRIREDRAFT_42181	BP
GO:0030688	TRIREDRAFT_42181	CC
GO:0016787	TRIREDRAFT_42193	MF
GO:0032543	TRIREDRAFT_42915	BP
GO:0003735	TRIREDRAFT_42915	MF
GO:0071821	TRIREDRAFT_43195	CC
GO:0046982	TRIREDRAFT_43195	MF
GO:0003924	TRIREDRAFT_43599	MF
GO:0005525	TRIREDRAFT_43599	MF
GO:0005525	TRIREDRAFT_43599	MF
GO:0003676	TRIREDRAFT_43615	MF
GO:0003723	TRIREDRAFT_43615	MF
GO:0003743	TRIREDRAFT_43615	MF
GO:0006368	TRIREDRAFT_43618	BP
GO:0016570	TRIREDRAFT_43618	BP
GO:0016593	TRIREDRAFT_43618	CC
GO:0005524	TRIREDRAFT_43649	MF
GO:0051082	TRIREDRAFT_43649	MF
GO:0006457	TRIREDRAFT_43649	BP
GO:0005524	TRIREDRAFT_43649	MF
GO:0006164	TRIREDRAFT_43662	BP
GO:0004639	TRIREDRAFT_43662	MF
GO:0070569	TRIREDRAFT_43664	MF
GO:0006011	TRIREDRAFT_43664	BP
GO:0003983	TRIREDRAFT_43664	MF
GO:0072488	TRIREDRAFT_43671	BP
GO:0016020	TRIREDRAFT_43671	CC
GO:0008519	TRIREDRAFT_43671	MF
GO:0008519	TRIREDRAFT_43671	MF
GO:0016020	TRIREDRAFT_43671	CC
GO:0015696	TRIREDRAFT_43671	BP
GO:0003676	TRIREDRAFT_43680	MF
GO:0055085	TRIREDRAFT_43701	BP
GO:0022857	TRIREDRAFT_43701	MF
GO:0022857	TRIREDRAFT_43701	MF
GO:0016021	TRIREDRAFT_43802	CC
GO:0006412	TRIREDRAFT_43814	BP
GO:0006412	TRIREDRAFT_43814	BP
GO:0005840	TRIREDRAFT_43814	CC
GO:0003735	TRIREDRAFT_43814	MF
GO:0006412	TRIREDRAFT_43814	BP
GO:0003735	TRIREDRAFT_43814	MF
GO:0005840	TRIREDRAFT_43814	CC
GO:0016021	TRIREDRAFT_43831	CC
GO:0000166	TRIREDRAFT_43831	MF
GO:0015914	TRIREDRAFT_43831	BP
GO:0140326	TRIREDRAFT_43831	MF
GO:0000287	TRIREDRAFT_43831	MF
GO:0005524	TRIREDRAFT_43831	MF
GO:0016021	TRIREDRAFT_43831	CC
GO:0005975	TRIREDRAFT_43873	BP
GO:0004553	TRIREDRAFT_43873	MF
GO:0005975	TRIREDRAFT_43873	BP
GO:0032012	TRIREDRAFT_43877	BP
GO:0005086	TRIREDRAFT_43877	MF
GO:0005086	TRIREDRAFT_43877	MF
GO:0032012	TRIREDRAFT_43877	BP
GO:0055114	TRIREDRAFT_43893	BP
GO:0046577	TRIREDRAFT_43893	MF
GO:0016614	TRIREDRAFT_43893	MF
GO:0055114	TRIREDRAFT_43893	BP
GO:0050660	TRIREDRAFT_43893	MF
GO:0016614	TRIREDRAFT_43893	MF
GO:0055114	TRIREDRAFT_43893	BP
GO:0006412	TRIREDRAFT_43906	BP
GO:0003735	TRIREDRAFT_43906	MF
GO:0003723	TRIREDRAFT_43906	MF
GO:0015934	TRIREDRAFT_43906	CC
GO:0055085	TRIREDRAFT_43974	BP
GO:0016746	TRIREDRAFT_44038	MF
GO:0004742	TRIREDRAFT_44038	MF
GO:0045254	TRIREDRAFT_44038	CC
GO:0006090	TRIREDRAFT_44038	BP
GO:0051536	TRIREDRAFT_44041	MF
GO:0009055	TRIREDRAFT_44041	MF
GO:0051536	TRIREDRAFT_44041	MF
GO:0016651	TRIREDRAFT_44041	MF
GO:0055114	TRIREDRAFT_44041	BP
GO:0016491	TRIREDRAFT_44041	MF
GO:0055114	TRIREDRAFT_44041	BP
GO:0008137	TRIREDRAFT_44041	MF
GO:0042773	TRIREDRAFT_44041	BP
GO:0055114	TRIREDRAFT_44041	BP
GO:0016020	TRIREDRAFT_44041	CC
GO:0009055	TRIREDRAFT_44041	MF
GO:0051536	TRIREDRAFT_44041	MF
GO:0043139	TRIREDRAFT_44097	MF
GO:0097255	TRIREDRAFT_44097	CC
GO:0035267	TRIREDRAFT_44097	CC
GO:0043139	TRIREDRAFT_44097	MF
GO:0031011	TRIREDRAFT_44097	CC
GO:0005524	TRIREDRAFT_44097	MF
GO:0003678	TRIREDRAFT_44097	MF
GO:0022857	TRIREDRAFT_44175	MF
GO:0055085	TRIREDRAFT_44175	BP
GO:0022857	TRIREDRAFT_44175	MF
GO:0016021	TRIREDRAFT_44175	CC
GO:0016787	TRIREDRAFT_44214	MF
GO:0055085	TRIREDRAFT_44278	BP
GO:0003677	TRIREDRAFT_44290	MF
GO:0005524	TRIREDRAFT_44330	MF
GO:0005524	TRIREDRAFT_44330	MF
GO:0006468	TRIREDRAFT_44330	BP
