Geneid,C_1,C_2,C_3,T_1,T_2,T_3
MYCTH_75824,4988,8646,8290,13505,18017,14623
MYCTH_2313336,3152,5086,5306,5008,6396,5655
MYCTH_2294540,393,605,598,2887,3751,2948
MYCTH_2294541,632,1128,948,1518,1969,1692
MYCTH_2122204,125,239,245,107,227,262
MYCTH_2294543,397,563,448,1880,2738,1835
MYCTH_90896,32,32,43,68,73,70
MYCTH_42394,20,16,7,50,74,38
MYCTH_2294547,1016,1652,1386,3629,5118,4301
MYCTH_2294549,21,22,24,82,67,73
MYCTH_2294550,225,313,347,132,133,93
MYCTH_2294554,366,499,388,1649,2260,1681
MYCTH_2294555,516,829,741,1450,2042,1603
MYCTH_2294558,1479,2557,2240,4385,5426,4305
MYCTH_2294559,82,108,111,183,337,290
MYCTH_2313342,2929,5002,4789,8792,11525,10296
MYCTH_62052,357,451,494,24191,31602,23700
MYCTH_2294574,2084,3828,3338,7541,7301,5905
MYCTH_2087375,454,865,807,1165,1467,1319
MYCTH_2294582,756,1266,1180,1817,2225,2146
MYCTH_2294585,769,1283,1113,1274,1701,1497
MYCTH_2294587,320,440,372,1818,2435,2033
MYCTH_2294589,620,1060,1185,682,890,639
MYCTH_2294596,473,705,633,3611,4968,4299
MYCTH_2294601,116,187,154,175,209,192
MYCTH_2313350,406,705,621,398,509,614
MYCTH_2294607,2526,3767,3251,6347,9062,7245
MYCTH_62074,2254,3736,3905,3255,4166,3498
MYCTH_2294614,477,814,719,780,1143,986
MYCTH_8962,114,186,171,284,396,240
MYCTH_2294618,1360,2154,2032,3046,3626,2982
MYCTH_2294621,21997,37538,36613,40689,49533,41979
MYCTH_2294623,335,476,463,670,1033,829
MYCTH_2294624,1737,2839,2540,4470,5582,4252
MYCTH_2074790,1927,2976,2778,24905,26574,16973
MYCTH_2294631,501,766,668,4546,5808,4824
MYCTH_2294635,492,601,580,1124,1657,1428
MYCTH_2313356,1645,2576,2296,3317,4961,4677
MYCTH_2294640,966,1506,1466,2183,3107,2512
MYCTH_2294643,583,798,808,2934,3703,3191
MYCTH_2294646,60,104,105,140,187,114
MYCTH_110187,11173,18480,16766,33423,41996,34159
MYCTH_2294650,429,793,652,2529,3332,2049
MYCTH_2294653,9,9,11,16,11,7
MYCTH_2294655,881,1242,1224,5195,6965,5501
MYCTH_2294657,282,391,335,1116,1230,1169
MYCTH_2294661,1939,3040,2700,5168,5796,4813
