ID	Gene
KEY:TRIREDRAFT_103321	TRIREDRAFT_103321
KEY:TRIREDRAFT_103322	TRIREDRAFT_103322
KEY:TRIREDRAFT_103330	TRIREDRAFT_103330
KEY:TRIREDRAFT_103335	TRIREDRAFT_103335
KEY:TRIREDRAFT_103336	TRIREDRAFT_103336
KEY:TRIREDRAFT_103348	TRIREDRAFT_103348
KEY:TRIREDRAFT_103350	TRIREDRAFT_103350
KEY:TRIREDRAFT_103356	TRIREDRAFT_103356
KEY:TRIREDRAFT_103364	TRIREDRAFT_103364
KEY:TRIREDRAFT_103366	TRIREDRAFT_103366
KEY:TRIREDRAFT_103372	TRIREDRAFT_103372
KEY:TRIREDRAFT_103376	TRIREDRAFT_103376
KEY:TRIREDRAFT_103393	TRIREDRAFT_103393
KEY:TRIREDRAFT_103394	TRIREDRAFT_103394
KEY:TRIREDRAFT_103395	TRIREDRAFT_103395
KEY:TRIREDRAFT_103403	TRIREDRAFT_103403
KEY:TRIREDRAFT_103411	TRIREDRAFT_103411
KEY:TRIREDRAFT_103421	TRIREDRAFT_103421
KEY:TRIREDRAFT_103423	TRIREDRAFT_103423
KEY:TRIREDRAFT_103437	TRIREDRAFT_103437
KEY:TRIREDRAFT_103438	TRIREDRAFT_103438
KEY:TRIREDRAFT_103442	TRIREDRAFT_103442
KEY:TRIREDRAFT_103446	TRIREDRAFT_103446
KEY:TRIREDRAFT_103447	TRIREDRAFT_103447
KEY:TRIREDRAFT_103451	TRIREDRAFT_103451
KEY:TRIREDRAFT_103455	TRIREDRAFT_103455
KEY:TRIREDRAFT_103458	TRIREDRAFT_103458
KEY:TRIREDRAFT_103459	TRIREDRAFT_103459
KEY:TRIREDRAFT_103463	TRIREDRAFT_103463
KEY:TRIREDRAFT_103470	TRIREDRAFT_103470
KEY:TRIREDRAFT_103482	TRIREDRAFT_103482
KEY:TRIREDRAFT_103487	TRIREDRAFT_103487
KEY:TRIREDRAFT_103498	TRIREDRAFT_103498
KEY:TRIREDRAFT_103506	TRIREDRAFT_103506
KEY:TRIREDRAFT_103517	TRIREDRAFT_103517
KEY:TRIREDRAFT_103537	TRIREDRAFT_103537
KEY:TRIREDRAFT_103555	TRIREDRAFT_103555
KEY:TRIREDRAFT_103560	TRIREDRAFT_103560
KEY:TRIREDRAFT_103563	TRIREDRAFT_103563
KEY:TRIREDRAFT_103576	TRIREDRAFT_103576
KEY:TRIREDRAFT_103579	TRIREDRAFT_103579
KEY:TRIREDRAFT_103594	TRIREDRAFT_103594
KEY:TRIREDRAFT_103597	TRIREDRAFT_103597
KEY:TRIREDRAFT_103599	TRIREDRAFT_103599
KEY:TRIREDRAFT_103613	TRIREDRAFT_103613
KEY:TRIREDRAFT_103614	TRIREDRAFT_103614
KEY:TRIREDRAFT_103618	TRIREDRAFT_103618
KEY:TRIREDRAFT_103625	TRIREDRAFT_103625
KEY:TRIREDRAFT_103651	TRIREDRAFT_103651
KEY:TRIREDRAFT_103653	TRIREDRAFT_103653
KEY:TRIREDRAFT_103655	TRIREDRAFT_103655
KEY:TRIREDRAFT_103660	TRIREDRAFT_103660
KEY:TRIREDRAFT_103668	TRIREDRAFT_103668
KEY:TRIREDRAFT_103669	TRIREDRAFT_103669
KEY:TRIREDRAFT_103671	TRIREDRAFT_103671
KEY:TRIREDRAFT_103683	TRIREDRAFT_103683
KEY:TRIREDRAFT_103694	TRIREDRAFT_103694
KEY:TRIREDRAFT_103695	TRIREDRAFT_103695
KEY:TRIREDRAFT_103703	TRIREDRAFT_103703
KEY:TRIREDRAFT_103712	TRIREDRAFT_103712
KEY:TRIREDRAFT_103715	TRIREDRAFT_103715
KEY:TRIREDRAFT_103720	TRIREDRAFT_103720
KEY:TRIREDRAFT_103725	TRIREDRAFT_103725
KEY:TRIREDRAFT_103739	TRIREDRAFT_103739
KEY:TRIREDRAFT_103740	TRIREDRAFT_103740
KEY:TRIREDRAFT_103745	TRIREDRAFT_103745
KEY:TRIREDRAFT_103747	TRIREDRAFT_103747
KEY:TRIREDRAFT_103751	TRIREDRAFT_103751
KEY:TRIREDRAFT_103754	TRIREDRAFT_103754
KEY:TRIREDRAFT_103755	TRIREDRAFT_103755
KEY:TRIREDRAFT_103756	TRIREDRAFT_103756
KEY:TRIREDRAFT_103761	TRIREDRAFT_103761
KEY:TRIREDRAFT_103771	TRIREDRAFT_103771
KEY:TRIREDRAFT_103772	TRIREDRAFT_103772
KEY:TRIREDRAFT_103774	TRIREDRAFT_103774
KEY:TRIREDRAFT_103778	TRIREDRAFT_103778
KEY:TRIREDRAFT_103798	TRIREDRAFT_103798
KEY:TRIREDRAFT_103799	TRIREDRAFT_103799
KEY:TRIREDRAFT_103801	TRIREDRAFT_103801
KEY:TRIREDRAFT_103804	TRIREDRAFT_103804
KEY:TRIREDRAFT_103812	TRIREDRAFT_103812
KEY:TRIREDRAFT_103813	TRIREDRAFT_103813
KEY:TRIREDRAFT_103822	TRIREDRAFT_103822
KEY:TRIREDRAFT_103825	TRIREDRAFT_103825
KEY:TRIREDRAFT_103827	TRIREDRAFT_103827
KEY:TRIREDRAFT_103844	TRIREDRAFT_103844
KEY:TRIREDRAFT_103850	TRIREDRAFT_103850
KEY:TRIREDRAFT_103852	TRIREDRAFT_103852
KEY:TRIREDRAFT_103853	TRIREDRAFT_103853
KEY:TRIREDRAFT_103861	TRIREDRAFT_103861
KEY:TRIREDRAFT_103863	TRIREDRAFT_103863
KEY:TRIREDRAFT_103865	TRIREDRAFT_103865
KEY:TRIREDRAFT_103866	TRIREDRAFT_103866
KEY:TRIREDRAFT_103886	TRIREDRAFT_103886
KEY:TRIREDRAFT_103898	TRIREDRAFT_103898
KEY:TRIREDRAFT_103900	TRIREDRAFT_103900
KEY:TRIREDRAFT_103907	TRIREDRAFT_103907
KEY:TRIREDRAFT_103917	TRIREDRAFT_103917
KEY:TRIREDRAFT_103920	TRIREDRAFT_103920
KEY:TRIREDRAFT_103930	TRIREDRAFT_103930
KEY:TRIREDRAFT_103937	TRIREDRAFT_103937
KEY:TRIREDRAFT_103947	TRIREDRAFT_103947
KEY:TRIREDRAFT_103949	TRIREDRAFT_103949
KEY:TRIREDRAFT_103951	TRIREDRAFT_103951
KEY:TRIREDRAFT_103959	TRIREDRAFT_103959
KEY:TRIREDRAFT_103960	TRIREDRAFT_103960
KEY:TRIREDRAFT_103973	TRIREDRAFT_103973
KEY:TRIREDRAFT_103993	TRIREDRAFT_103993
KEY:TRIREDRAFT_103995	TRIREDRAFT_103995
KEY:TRIREDRAFT_104000	TRIREDRAFT_104000
KEY:TRIREDRAFT_104004	TRIREDRAFT_104004
KEY:TRIREDRAFT_104015	TRIREDRAFT_104015
KEY:TRIREDRAFT_104016	TRIREDRAFT_104016
KEY:TRIREDRAFT_104021	TRIREDRAFT_104021
KEY:TRIREDRAFT_104046	TRIREDRAFT_104046
KEY:TRIREDRAFT_104050	TRIREDRAFT_104050
KEY:TRIREDRAFT_104054	TRIREDRAFT_104054
KEY:TRIREDRAFT_104059	TRIREDRAFT_104059
KEY:TRIREDRAFT_104060	TRIREDRAFT_104060
KEY:TRIREDRAFT_104061	TRIREDRAFT_104061
KEY:TRIREDRAFT_104064	TRIREDRAFT_104064
KEY:TRIREDRAFT_104067	TRIREDRAFT_104067
KEY:TRIREDRAFT_104071	TRIREDRAFT_104071
KEY:TRIREDRAFT_104072	TRIREDRAFT_104072
KEY:TRIREDRAFT_104073	TRIREDRAFT_104073
KEY:TRIREDRAFT_104075	TRIREDRAFT_104075
KEY:TRIREDRAFT_104077	TRIREDRAFT_104077
KEY:TRIREDRAFT_104079	TRIREDRAFT_104079
KEY:TRIREDRAFT_104081	TRIREDRAFT_104081
KEY:TRIREDRAFT_104084	TRIREDRAFT_104084
KEY:TRIREDRAFT_104089	TRIREDRAFT_104089
KEY:TRIREDRAFT_104097	TRIREDRAFT_104097
KEY:TRIREDRAFT_104102	TRIREDRAFT_104102
KEY:TRIREDRAFT_104103	TRIREDRAFT_104103
KEY:TRIREDRAFT_104104	TRIREDRAFT_104104
KEY:TRIREDRAFT_104106	TRIREDRAFT_104106
KEY:TRIREDRAFT_104109	TRIREDRAFT_104109
KEY:TRIREDRAFT_104115	TRIREDRAFT_104115
KEY:TRIREDRAFT_104116	TRIREDRAFT_104116
KEY:TRIREDRAFT_104117	TRIREDRAFT_104117
KEY:TRIREDRAFT_104118	TRIREDRAFT_104118
KEY:TRIREDRAFT_104121	TRIREDRAFT_104121
KEY:TRIREDRAFT_104132	TRIREDRAFT_104132
KEY:TRIREDRAFT_104135	TRIREDRAFT_104135
KEY:TRIREDRAFT_104137	TRIREDRAFT_104137
KEY:TRIREDRAFT_104140	TRIREDRAFT_104140
KEY:TRIREDRAFT_104141	TRIREDRAFT_104141
KEY:TRIREDRAFT_104152	TRIREDRAFT_104152
KEY:TRIREDRAFT_104156	TRIREDRAFT_104156
KEY:TRIREDRAFT_104157	TRIREDRAFT_104157
KEY:TRIREDRAFT_104159	TRIREDRAFT_104159
KEY:TRIREDRAFT_104161	TRIREDRAFT_104161
KEY:TRIREDRAFT_104168	TRIREDRAFT_104168
KEY:TRIREDRAFT_104171	TRIREDRAFT_104171
KEY:TRIREDRAFT_104173	TRIREDRAFT_104173
KEY:TRIREDRAFT_104174	TRIREDRAFT_104174
KEY:TRIREDRAFT_104175	TRIREDRAFT_104175
KEY:TRIREDRAFT_104179	TRIREDRAFT_104179
KEY:TRIREDRAFT_104180	TRIREDRAFT_104180
KEY:TRIREDRAFT_104181	TRIREDRAFT_104181
KEY:TRIREDRAFT_104182	TRIREDRAFT_104182
KEY:TRIREDRAFT_104197	TRIREDRAFT_104197
KEY:TRIREDRAFT_104199	TRIREDRAFT_104199
KEY:TRIREDRAFT_104200	TRIREDRAFT_104200
KEY:TRIREDRAFT_104201	TRIREDRAFT_104201
KEY:TRIREDRAFT_104202	TRIREDRAFT_104202
KEY:TRIREDRAFT_104203	TRIREDRAFT_104203
KEY:TRIREDRAFT_104206	TRIREDRAFT_104206
KEY:TRIREDRAFT_104207	TRIREDRAFT_104207
KEY:TRIREDRAFT_104209	TRIREDRAFT_104209
KEY:TRIREDRAFT_104211	TRIREDRAFT_104211
KEY:TRIREDRAFT_104215	TRIREDRAFT_104215
KEY:TRIREDRAFT_104217	TRIREDRAFT_104217
KEY:TRIREDRAFT_104219	TRIREDRAFT_104219
KEY:TRIREDRAFT_104220	TRIREDRAFT_104220
KEY:TRIREDRAFT_104222	TRIREDRAFT_104222
KEY:TRIREDRAFT_104227	TRIREDRAFT_104227
KEY:TRIREDRAFT_104228	TRIREDRAFT_104228
KEY:TRIREDRAFT_104230	TRIREDRAFT_104230
KEY:TRIREDRAFT_104231	TRIREDRAFT_104231
KEY:TRIREDRAFT_104239	TRIREDRAFT_104239
KEY:TRIREDRAFT_104243	TRIREDRAFT_104243
KEY:TRIREDRAFT_104251	TRIREDRAFT_104251
KEY:TRIREDRAFT_104260	TRIREDRAFT_104260
KEY:TRIREDRAFT_104261	TRIREDRAFT_104261
KEY:TRIREDRAFT_104263	TRIREDRAFT_104263
KEY:TRIREDRAFT_104272	TRIREDRAFT_104272
KEY:TRIREDRAFT_104276	TRIREDRAFT_104276
KEY:TRIREDRAFT_104277	TRIREDRAFT_104277
KEY:TRIREDRAFT_104286	TRIREDRAFT_104286
KEY:TRIREDRAFT_104288	TRIREDRAFT_104288
KEY:TRIREDRAFT_104289	TRIREDRAFT_104289
KEY:TRIREDRAFT_104291	TRIREDRAFT_104291
KEY:TRIREDRAFT_104292	TRIREDRAFT_104292
KEY:TRIREDRAFT_104293	TRIREDRAFT_104293
KEY:TRIREDRAFT_104294	TRIREDRAFT_104294
KEY:TRIREDRAFT_104295	TRIREDRAFT_104295
KEY:TRIREDRAFT_104301	TRIREDRAFT_104301
KEY:TRIREDRAFT_104302	TRIREDRAFT_104302
KEY:TRIREDRAFT_104304	TRIREDRAFT_104304
KEY:TRIREDRAFT_104310	TRIREDRAFT_104310
KEY:TRIREDRAFT_104313	TRIREDRAFT_104313
KEY:TRIREDRAFT_104318	TRIREDRAFT_104318
KEY:TRIREDRAFT_104320	TRIREDRAFT_104320
KEY:TRIREDRAFT_104322	TRIREDRAFT_104322
KEY:TRIREDRAFT_104325	TRIREDRAFT_104325
KEY:TRIREDRAFT_104333	TRIREDRAFT_104333
KEY:TRIREDRAFT_104334	TRIREDRAFT_104334
KEY:TRIREDRAFT_104335	TRIREDRAFT_104335
KEY:TRIREDRAFT_104336	TRIREDRAFT_104336
KEY:TRIREDRAFT_104343	TRIREDRAFT_104343
KEY:TRIREDRAFT_104351	TRIREDRAFT_104351
KEY:TRIREDRAFT_104353	TRIREDRAFT_104353
KEY:TRIREDRAFT_104354	TRIREDRAFT_104354
KEY:TRIREDRAFT_104356	TRIREDRAFT_104356
KEY:TRIREDRAFT_104359	TRIREDRAFT_104359
KEY:TRIREDRAFT_104364	TRIREDRAFT_104364
KEY:TRIREDRAFT_104368	TRIREDRAFT_104368
KEY:TRIREDRAFT_104369	TRIREDRAFT_104369
KEY:TRIREDRAFT_104370	TRIREDRAFT_104370
KEY:TRIREDRAFT_104372	TRIREDRAFT_104372
KEY:TRIREDRAFT_104373	TRIREDRAFT_104373
KEY:TRIREDRAFT_104377	TRIREDRAFT_104377
KEY:TRIREDRAFT_104380	TRIREDRAFT_104380
KEY:TRIREDRAFT_104382	TRIREDRAFT_104382
KEY:TRIREDRAFT_104390	TRIREDRAFT_104390
KEY:TRIREDRAFT_104393	TRIREDRAFT_104393
KEY:TRIREDRAFT_104394	TRIREDRAFT_104394
KEY:TRIREDRAFT_104395	TRIREDRAFT_104395
KEY:TRIREDRAFT_104399	TRIREDRAFT_104399
KEY:TRIREDRAFT_104400	TRIREDRAFT_104400
KEY:TRIREDRAFT_104401	TRIREDRAFT_104401
KEY:TRIREDRAFT_104413	TRIREDRAFT_104413
KEY:TRIREDRAFT_104415	TRIREDRAFT_104415
KEY:TRIREDRAFT_104418	TRIREDRAFT_104418
KEY:TRIREDRAFT_104419	TRIREDRAFT_104419
