Gene	Pathway
TRIREDRAFT_122592	Metabolic pathways
TRIREDRAFT_122641	Metabolic pathways
TRIREDRAFT_122644	Metabolic pathways
TRIREDRAFT_122653	Metabolic pathways
TRIREDRAFT_122736	Metabolic pathways
TRIREDRAFT_122745	Metabolic pathways
TRIREDRAFT_122780	Metabolic pathways
TRIREDRAFT_122811	Metabolic pathways
TRIREDRAFT_122820	Metabolic pathways
TRIREDRAFT_122828	Metabolic pathways
TRIREDRAFT_122860	Metabolic pathways
TRIREDRAFT_122868	Metabolic pathways
TRIREDRAFT_122960	Metabolic pathways
TRIREDRAFT_122963	Metabolic pathways
TRIREDRAFT_122987	Metabolic pathways
TRIREDRAFT_123008	Metabolic pathways
TRIREDRAFT_123013	Metabolic pathways
TRIREDRAFT_123026	Metabolic pathways
TRIREDRAFT_123071	Metabolic pathways
TRIREDRAFT_123174	Metabolic pathways
TRIREDRAFT_123198	Metabolic pathways
TRIREDRAFT_123223	Metabolic pathways
TRIREDRAFT_123226	Metabolic pathways
TRIREDRAFT_123274	Metabolic pathways
TRIREDRAFT_123283	Metabolic pathways
TRIREDRAFT_123288	Metabolic pathways
TRIREDRAFT_123368	Metabolic pathways
TRIREDRAFT_123382	Metabolic pathways
TRIREDRAFT_123457	Metabolic pathways
TRIREDRAFT_123468	Metabolic pathways
TRIREDRAFT_123471	Metabolic pathways
TRIREDRAFT_123550	Metabolic pathways
TRIREDRAFT_123572	Metabolic pathways
TRIREDRAFT_123618	Metabolic pathways
TRIREDRAFT_123627	Metabolic pathways
TRIREDRAFT_123631	Metabolic pathways
TRIREDRAFT_123633	Metabolic pathways
TRIREDRAFT_123655	Metabolic pathways
TRIREDRAFT_123681	Metabolic pathways
TRIREDRAFT_123705	Metabolic pathways
TRIREDRAFT_123714	Metabolic pathways
TRIREDRAFT_123720	Metabolic pathways
TRIREDRAFT_123729	Metabolic pathways
TRIREDRAFT_123738	Metabolic pathways
TRIREDRAFT_123758	Metabolic pathways
TRIREDRAFT_123771	Metabolic pathways
TRIREDRAFT_123795	Metabolic pathways
TRIREDRAFT_123805	Metabolic pathways
TRIREDRAFT_123820	Metabolic pathways
TRIREDRAFT_123827	Metabolic pathways
TRIREDRAFT_123978	Metabolic pathways
TRIREDRAFT_123989	Metabolic pathways
TRIREDRAFT_124016	Metabolic pathways
TRIREDRAFT_124043	Metabolic pathways
TRIREDRAFT_124115	Metabolic pathways
TRIREDRAFT_124148	Metabolic pathways
TRIREDRAFT_124228	Metabolic pathways
TRIREDRAFT_124319	Metabolic pathways
TRIREDRAFT_124332	Metabolic pathways
TRIREDRAFT_124340	Metabolic pathways
TRIREDRAFT_1885	Metabolic pathways
TRIREDRAFT_1993	Metabolic pathways
TRIREDRAFT_2036	Metabolic pathways
TRIREDRAFT_2091	Metabolic pathways
TRIREDRAFT_21120	Metabolic pathways
TRIREDRAFT_21406	Metabolic pathways
TRIREDRAFT_21435	Metabolic pathways
TRIREDRAFT_21535	Metabolic pathways
TRIREDRAFT_21606	Metabolic pathways
TRIREDRAFT_21609	Metabolic pathways
TRIREDRAFT_21663	Metabolic pathways
TRIREDRAFT_21673	Metabolic pathways
TRIREDRAFT_21716	Metabolic pathways
TRIREDRAFT_21725	Metabolic pathways
TRIREDRAFT_21758	Metabolic pathways
TRIREDRAFT_21836	Metabolic pathways
TRIREDRAFT_21873	Metabolic pathways
TRIREDRAFT_21957	Metabolic pathways
TRIREDRAFT_21960	Metabolic pathways
TRIREDRAFT_22004	Metabolic pathways
TRIREDRAFT_22005	Metabolic pathways
TRIREDRAFT_22072	Metabolic pathways
TRIREDRAFT_2211	Metabolic pathways
TRIREDRAFT_22148	Metabolic pathways
TRIREDRAFT_2223	Metabolic pathways
TRIREDRAFT_22252	Metabolic pathways
TRIREDRAFT_22300	Metabolic pathways
TRIREDRAFT_22415	Metabolic pathways
TRIREDRAFT_22481	Metabolic pathways
TRIREDRAFT_22527	Metabolic pathways
TRIREDRAFT_22632	Metabolic pathways
TRIREDRAFT_22633	Metabolic pathways
TRIREDRAFT_22705	Metabolic pathways
TRIREDRAFT_22707	Metabolic pathways
TRIREDRAFT_22737	Metabolic pathways
TRIREDRAFT_22741	Metabolic pathways
TRIREDRAFT_22771	Metabolic pathways
TRIREDRAFT_22798	Metabolic pathways
TRIREDRAFT_22799	Metabolic pathways
TRIREDRAFT_22804	Metabolic pathways
TRIREDRAFT_22816	Metabolic pathways
TRIREDRAFT_22826	Metabolic pathways
TRIREDRAFT_22830	Metabolic pathways
TRIREDRAFT_22879	Metabolic pathways
TRIREDRAFT_22910	Metabolic pathways
TRIREDRAFT_22945	Metabolic pathways
TRIREDRAFT_23184	Metabolic pathways
TRIREDRAFT_23200	Metabolic pathways
TRIREDRAFT_23237	Metabolic pathways
TRIREDRAFT_23298	Metabolic pathways
TRIREDRAFT_23346	Metabolic pathways
TRIREDRAFT_23413	Metabolic pathways
TRIREDRAFT_23417	Metabolic pathways
TRIREDRAFT_23431	Metabolic pathways
TRIREDRAFT_2358	Metabolic pathways
TRIREDRAFT_2392	Metabolic pathways
TRIREDRAFT_2474	Metabolic pathways
TRIREDRAFT_2476	Metabolic pathways
TRIREDRAFT_2501	Metabolic pathways
TRIREDRAFT_2521	Metabolic pathways
TRIREDRAFT_2583	Metabolic pathways
TRIREDRAFT_2634	Metabolic pathways
TRIREDRAFT_2662	Metabolic pathways
TRIREDRAFT_27219	Metabolic pathways
TRIREDRAFT_2735	Metabolic pathways
TRIREDRAFT_2745	Metabolic pathways
TRIREDRAFT_27697	Metabolic pathways
TRIREDRAFT_28050	Metabolic pathways
TRIREDRAFT_28159	Metabolic pathways
TRIREDRAFT_2912	Metabolic pathways
TRIREDRAFT_29642	Metabolic pathways
TRIREDRAFT_30144	Metabolic pathways
TRIREDRAFT_3101	Metabolic pathways
TRIREDRAFT_31551	Metabolic pathways
TRIREDRAFT_31869	Metabolic pathways
TRIREDRAFT_32087	Metabolic pathways
TRIREDRAFT_33207	Metabolic pathways
TRIREDRAFT_33342	Metabolic pathways
TRIREDRAFT_3350	Metabolic pathways
TRIREDRAFT_33586	Metabolic pathways
TRIREDRAFT_3362	Metabolic pathways
TRIREDRAFT_3372	Metabolic pathways
TRIREDRAFT_34327	Metabolic pathways
TRIREDRAFT_34378	Metabolic pathways
TRIREDRAFT_3464	Metabolic pathways
TRIREDRAFT_34985	Metabolic pathways
TRIREDRAFT_35522	Metabolic pathways
TRIREDRAFT_3568	Metabolic pathways
TRIREDRAFT_3591	Metabolic pathways
TRIREDRAFT_3596	Metabolic pathways
TRIREDRAFT_3600	Metabolic pathways
TRIREDRAFT_3641	Metabolic pathways
TRIREDRAFT_3653	Metabolic pathways
TRIREDRAFT_3717	Metabolic pathways
TRIREDRAFT_3718	Metabolic pathways
TRIREDRAFT_37368	Metabolic pathways
TRIREDRAFT_3739	Metabolic pathways
TRIREDRAFT_3835	Metabolic pathways
TRIREDRAFT_39535	Metabolic pathways
TRIREDRAFT_39942	Metabolic pathways
TRIREDRAFT_40074	Metabolic pathways
TRIREDRAFT_4009	Metabolic pathways
TRIREDRAFT_40199	Metabolic pathways
TRIREDRAFT_40298	Metabolic pathways
TRIREDRAFT_4064	Metabolic pathways
TRIREDRAFT_4069	Metabolic pathways
TRIREDRAFT_40758	Metabolic pathways
TRIREDRAFT_4104	Metabolic pathways
TRIREDRAFT_4117	Metabolic pathways
TRIREDRAFT_41504	Metabolic pathways
TRIREDRAFT_4152	Metabolic pathways
TRIREDRAFT_41895	Metabolic pathways
TRIREDRAFT_4196	Metabolic pathways
TRIREDRAFT_42193	Metabolic pathways
TRIREDRAFT_42825	Metabolic pathways
TRIREDRAFT_43236	Metabolic pathways
TRIREDRAFT_43662	Metabolic pathways
TRIREDRAFT_43664	Metabolic pathways
TRIREDRAFT_43873	Metabolic pathways
TRIREDRAFT_43884	Metabolic pathways
TRIREDRAFT_44038	Metabolic pathways
TRIREDRAFT_44041	Metabolic pathways
TRIREDRAFT_4421	Metabolic pathways
TRIREDRAFT_44529	Metabolic pathways
TRIREDRAFT_44624	Metabolic pathways
TRIREDRAFT_44628	Metabolic pathways
TRIREDRAFT_4480	Metabolic pathways
TRIREDRAFT_44868	Metabolic pathways
TRIREDRAFT_44928	Metabolic pathways
TRIREDRAFT_44987	Metabolic pathways
TRIREDRAFT_45138	Metabolic pathways
TRIREDRAFT_45153	Metabolic pathways
TRIREDRAFT_45250	Metabolic pathways
TRIREDRAFT_45445	Metabolic pathways
TRIREDRAFT_45459	Metabolic pathways
TRIREDRAFT_45717	Metabolic pathways
TRIREDRAFT_45732	Metabolic pathways
TRIREDRAFT_4622	Metabolic pathways
TRIREDRAFT_46238	Metabolic pathways
TRIREDRAFT_46244	Metabolic pathways
TRIREDRAFT_46301	Metabolic pathways
TRIREDRAFT_46463	Metabolic pathways
TRIREDRAFT_4654	Metabolic pathways
TRIREDRAFT_46545	Metabolic pathways
TRIREDRAFT_4668	Metabolic pathways
TRIREDRAFT_46816	Metabolic pathways
TRIREDRAFT_46936	Metabolic pathways
TRIREDRAFT_47066	Metabolic pathways
TRIREDRAFT_47153	Metabolic pathways
TRIREDRAFT_47221	Metabolic pathways
TRIREDRAFT_4726	Metabolic pathways
TRIREDRAFT_47268	Metabolic pathways
TRIREDRAFT_47420	Metabolic pathways
TRIREDRAFT_47432	Metabolic pathways
TRIREDRAFT_4744	Metabolic pathways
TRIREDRAFT_47510	Metabolic pathways
TRIREDRAFT_47603	Metabolic pathways
TRIREDRAFT_4767	Metabolic pathways
TRIREDRAFT_48225	Metabolic pathways
TRIREDRAFT_4860	Metabolic pathways
TRIREDRAFT_48707	Metabolic pathways
TRIREDRAFT_4876	Metabolic pathways
TRIREDRAFT_4878	Metabolic pathways
TRIREDRAFT_48788	Metabolic pathways
TRIREDRAFT_48792	Metabolic pathways
TRIREDRAFT_48883	Metabolic pathways
TRIREDRAFT_49112	Metabolic pathways
TRIREDRAFT_49399	Metabolic pathways
TRIREDRAFT_4941	Metabolic pathways
TRIREDRAFT_49489	Metabolic pathways
TRIREDRAFT_49753	Metabolic pathways
TRIREDRAFT_4981	Metabolic pathways
TRIREDRAFT_49864	Metabolic pathways
TRIREDRAFT_49898	Metabolic pathways
TRIREDRAFT_49946	Metabolic pathways
TRIREDRAFT_49976	Metabolic pathways
TRIREDRAFT_50159	Metabolic pathways
TRIREDRAFT_50268	Metabolic pathways
TRIREDRAFT_5048	Metabolic pathways
TRIREDRAFT_50516	Metabolic pathways
TRIREDRAFT_50531	Metabolic pathways
TRIREDRAFT_50583	Metabolic pathways
TRIREDRAFT_50616	Metabolic pathways
TRIREDRAFT_50793	Metabolic pathways
TRIREDRAFT_5091	Metabolic pathways
TRIREDRAFT_5107	Metabolic pathways
TRIREDRAFT_51103	Metabolic pathways
TRIREDRAFT_51130	Metabolic pathways
TRIREDRAFT_51153	Metabolic pathways
TRIREDRAFT_51287	Metabolic pathways
TRIREDRAFT_5135	Metabolic pathways
TRIREDRAFT_51483	Metabolic pathways
TRIREDRAFT_51492	Metabolic pathways
TRIREDRAFT_51499	Metabolic pathways
TRIREDRAFT_51562	Metabolic pathways
TRIREDRAFT_51806	Metabolic pathways
TRIREDRAFT_52055	Metabolic pathways
TRIREDRAFT_52267	Metabolic pathways
TRIREDRAFT_5233	Metabolic pathways
TRIREDRAFT_52375	Metabolic pathways
TRIREDRAFT_5270	Metabolic pathways
TRIREDRAFT_52847	Metabolic pathways
TRIREDRAFT_5296	Metabolic pathways
TRIREDRAFT_53091	Metabolic pathways
TRIREDRAFT_53123	Metabolic pathways
TRIREDRAFT_53220	Metabolic pathways
TRIREDRAFT_5330	Metabolic pathways
